entry_id;calculation_id;delta_e
25672;1352933;-1.60894
1216058;2454;0.0125899
1216098;2689;0.00639353
4698;3346;0.00013712
8130;3588;0.131232
8132;3592;0.126086
8203;3612;0.00273523
7503;3619;0.258494
8533;3620;0.00072037
7517;3624;0.242257
8082;3629;0
8086;3637;0
8100;3638;0.00078878
12054;3681;0.20662
8500;3697;0.000309365
7514;3721;0
9566;3723;0.141404
9320;3726;0.0796309
10106;3729;0.142871
8586;3732;0.138944
17350;3749;0.144857
12055;3763;0.309144
16720;3788;0.132208
7513;3794;0.110752
7521;3798;0
17319;3804;0.146084
22514;3829;0.00035509
22516;3833;0.0907973
7505;3845;0.161452
7512;3847;0.0685294
7519;3849;0.0620481
7522;3853;0
6321;3859;-2.10616
5810;3861;0.106576
18114;3908;-0.327448
22472;3911;0.53432
8391;3976;0.274825
7509;3977;0.0396869
7520;3980;0.136493
17859;3981;-0.262073
10676;3983;0.069534
17860;3984;-0.249743
6320;3986;-1.67985
10678;3987;-0.350774
17352;3991;-0.439348
10681;3992;-0.343094
10937;3994;-0.387425
21452;3995;0.144659
17610;3997;-0.233202
10683;3998;-0.429266
18891;3999;-0.399049
17612;4001;-0.0441488
19149;4003;-0.0137219
17360;4004;-0.337539
4566;4007;-0.208229
8134;4044;0.00552397
8138;4047;0
31044;4049;0.0433077
8144;4050;0
8520;4060;0.00535497
3925;4064;0.0112921
13761;4069;-1.25385
30000;4071;-0.887234
18895;4073;-0.311093
8143;4075;0.00104637
7648;4076;-2.04363
7649;4086;-1.66066
8390;4108;0.114333
9214;4113;0.315362
12056;4117;0.320075
9277;4136;0.168443
9287;4137;0.536882
28966;4153;-0.530551
30508;4154;-0.0662705
31023;4158;-0.767789
31025;4160;-0.360045
31283;4161;-0.0527719
10944;4162;-0.366483
30004;4164;-0.0665642
8386;4165;-0.539797
18984;4183;0.307863
13862;4191;0.00102457
20540;4200;0.132543
20541;4201;0.132543
8534;4208;0.00305485
8568;4213;0
13705;4220;0.443724
8597;4222;0.0288302
17585;4224;0.00337199
19150;4236;-0.0129459
30264;4237;-0.124238
31032;4239;-0.282995
22272;4247;0.343545
18780;4258;0.227599
13650;4260;0.145153
9316;4265;0.0317803
5499;4267;1.18766
5517;4268;1.19774
21449;4274;-0.282521
8118;4276;-1.52807
21453;4278;0.718864
8122;4280;-1.72191
18131;4281;0.023257
17621;4283;-0.971832
18903;4284;-0.536498
18904;4286;0.302794
17625;4289;-1.01333
20443;4291;0.0174154
17627;4295;-0.450737
18140;4297;-0.427958
8139;4299;0.0170585
17629;4306;-0.355226
17630;4308;-0.114858
8141;4310;0.00294909
19423;4314;-0.449193
22242;4316;-0.988541
6318;4333;-0.246103
17349;4337;0.012259
18896;4340;-0.310025
18136;4342;-0.720321
30785;4346;-0.410521
19422;4352;-0.22633
8142;4353;0.00009971
22243;4357;-1.05655
28740;4358;-0.3876
10705;4359;-0.179908
18145;4361;-0.501043
27974;4363;-0.435995
