entry_id;calculation_id
25672;1352933
1216058;2454
1216098;2689
4698;3346
8130;3588
8132;3592
8203;3612
7503;3619
8533;3620
7517;3624
8082;3629
8086;3637
8100;3638
12054;3681
8500;3697
7514;3721
9566;3723
9320;3726
10106;3729
8586;3732
17350;3749
12055;3763
16720;3788
7513;3794
7521;3798
17319;3804
22514;3829
22516;3833
7505;3845
7512;3847
7519;3849
7522;3853
6321;3859
5810;3861
18114;3908
22472;3911
8391;3976
7509;3977
7520;3980
17859;3981
10676;3983
17860;3984
6320;3986
10678;3987
17352;3991
10681;3992
10937;3994
21452;3995
17610;3997
10683;3998
18891;3999
17612;4001
19149;4003
17360;4004
4566;4007
8134;4044
8138;4047
31044;4049
8144;4050
8520;4060
3925;4064
13761;4069
30000;4071
18895;4073
8143;4075
7648;4076
7649;4086
8390;4108
9214;4113
12056;4117
9277;4136
9287;4137
28966;4153
30508;4154
31023;4158
31025;4160
31283;4161
10944;4162
30004;4164
8386;4165
18984;4183
13862;4191
20540;4200
20541;4201
8534;4208
8568;4213
13705;4220
8597;4222
17585;4224
19150;4236
30264;4237
31032;4239
22272;4247
18780;4258
13650;4260
9316;4265
5499;4267
5517;4268
21449;4274
8118;4276
21453;4278
8122;4280
18131;4281
17621;4283
18903;4284
18904;4286
17625;4289
20443;4291
17627;4295
18140;4297
8139;4299
17629;4306
17630;4308
8141;4310
19423;4314
22242;4316
6318;4333
17349;4337
18896;4340
18136;4342
30785;4346
19422;4352
8142;4353
22243;4357
28740;4358
10705;4359
18145;4361
27974;4363
8145;4366
17380;4368
18148;4370
28744;4372
30536;4374
30025;4376
17638;4378
10711;4382
10712;4388
17640;4390
18152;4392
18153;4394
17386;4395
10715;4398
29007;4399
10972;4401
9301;4419
22248;4439
18156;4441
17389;4442
18157;4443
8156;4445
17646;4446
20463;4448
20464;4452
20721;4453
10720;4456
17392;4458
17904;4460
20465;4461
20466;4463
17650;4464
17906;4466
18674;4468
20467;4469
22309;4478
12059;4483
9297;4491
22473;4495
8119;4498
20684;4500
22262;4505
29784;4509
30040;4511
17397;4512
22264;4514
12057;4536
12058;4537
10325;4546
10105;4549
14014;4554
8123;4556
4543;4559
11469;4561
29003;4563
20469;4566
5497;4601
4523;4610
22475;4611
17907;4625
29018;4627
10182;4659
9672;4660
10445;4664
14034;4665
30534;4668
29013;4672
8162;4674
22476;4692
17353;4694
22221;4696
17383;4710
8155;4714
8115;4734
18147;4742
30535;4744
30537;4749
17898;4752
14052;4755
8163;4761
21451;4787
30533;4788
13784;4789
14051;4792
20468;4794
4578;4802
10729;4804
17657;4805
18169;4806
10986;4807
17402;4808
12061;4844
12062;4845
12064;4847
8165;4866
4579;4870
17404;4871
17660;4873
18172;4874
3311;4880
18967;4904
19480;4905
12060;4907
12063;4908
