entry_id;calculation_id;name
10010;10914;InCuO2
10021;14328;TbSi2Rh2
10022;14937;HoSi2Ru2
10023;14646;HoSi2Rh2
10024;14590;PrSi2Ru2
10026;14489;CeMn2Si2
10027;14551;TbSi2Au2
10028;20607;CeAgSn
10029;19422;PrAgSn
10030;19931;NdAgSn
10031;20166;TbAgSn
10032;20608;DyAgSn
10033;20662;HoAgSn
10034;19552;ErAgSn
10040;59640;GdInNi
10041;55424;TbInNi
10042;55608;DyInNi
10043;55149;HoInNi
10044;16347;LaGe2Rh2
10045;16348;LaGe2Ru2
10046;16224;DyGe2Rh2
10049;15042;YSi2Au2
10050;14732;HoSi2Au2
10054;19530;IrO2
10055;8333;ZrS2
10056;19573;WS2
10057;20326;NbO2
10058;8096;Na2S
10059;8228;Cu2Se
10062;11160;TbGe
10066;6567;GeTe
10067;22280;Th2Ge
10068;27175;ThGe2
10069;27151;ThGe2
10071;11607;UGe3
10073;8195;HoH2
10074;14385;KMgH3
10075;8183;LuH2
10076;8250;NbH2
10077;6515;NiH
10080;8654;PuH2
10081;6709;RbH
10083;12520;FeTe
10084;8792;BaC2
10085;18026;La2O3
10087;6245;HRh
10088;8527;TaH2
10089;8381;TbH2
10090;8528;ThH2
10093;11574;TiH
10094;8220;TiH2
10096;8418;TmH2
10097;8567;VH2
10098;8433;YbH2
10099;11691;YbH3
10100;11810;ZrH
10101;20598;KHgSb
10102;7302;HgS
10103;7259;HgSe
10105;4549;Ho
10106;3729;Ho
10107;13232;NaHoS2
10108;16369;HoSi2Ni2
10109;15906;HoSi2Os2
10110;15364;HoSi2Pd2
10111;8762;HoSbPt
10114;20703;HoSi2Rh3
10115;19990;HoS2
10116;32998;KPF6
10117;8991;In2Pt
10118;11814;InPt3
10119;20087;PbAu2
10120;12892;SnAu
10121;33795;FeAgS2
10122;11882;FeIr3
10123;12179;CuAu3
10125;6591;Ag
10126;20055;Pb2Au
10128;6861;ZnCu
10131;8632;Bi2Pd
10141;9024;AcH2
10143;16465;La3AlC
10144;15283;Y3GaC
10145;15577;Sm3GaC
10146;15421;Yb3GaC
10147;16478;Dy3InC
10148;15793;Yb3InC
10149;16486;La3TlC
10150;15640;Sm3TlC
10151;15633;Lu3TlC
10152;15480;Y3SnC
10153;15626;Dy3SnC
10154;15595;Lu3SnC
10155;31021;Y3PbC
10156;16520;La3PbC
