entry_id;calculation_id;spacegroup
26579;100103;R-3
30231;100189;Amm2
24164;100193;P-3m1
17930;10027;P4/mmm
21535;10029;I4/mmm
22340;10031;I4/mmm
31236;10032;P-3m1
10428;10033;Fm-3m
2487;10034;Imm2
5308;10035;R-3m
5057;10036;P42/mmc
30780;10037;R3m
12908;10039;I4/mmm
17594;100393;F-43m
6868;10041;R3m
22256;10043;P63/mmc
22259;10045;P-4m2
3801;10047;R-3m
18162;10048;Pm-3m
17908;10051;Pm-3m
5086;10052;Pm-3m
19192;10053;Pm-3m
17913;10054;Pm-3m
19193;10055;Pm-3m
18170;10057;Pm-3m
22013;10058;P3m1
4580;10059;P63mc
17915;10060;Pm-3m
18171;10061;Pm-3m
21502;10062;Cmmm
8426;10064;P63/mmc
18173;10066;Pm-3m
22016;10067;P3m1
31333;10068;P63mc
25958;10069;Fm-3m
17157;10070;P4/mmm
10747;10071;F-43m
13826;10072;P63mc
11006;10074;Pm-3m
18703;10075;P4/mmm
8116;10076;P63/mmc
29555;10077;Pm-3m
7687;10078;Fm-3m
17437;10079;Pm-3m
17954;10080;Pm-3m
17695;100807;Fm-3m
18722;10081;I4/mmm
17773;101129;Pnma
17807;101276;Pbam
17836;101394;P63mc
17868;101527;Aba2
20917;10178;Fm-3m
4155;10179;R-3m
5305;10180;R-3m
10185;10182;P21/m
10446;10183;I4/mmm
30796;10185;Cmcm
8152;10186;P63mc
29006;10187;Fd-3m
17644;10188;P4/mmm
17652;10189;Fm-3m
5088;10190;R-3m
10471;10191;I4/mmm
10728;10192;F-43m
16360;101958;Imm2
10461;10197;Fm-3m
19816;101972;I4/m
10462;10198;Fm-3m
22266;10200;P-4m2
17912;10201;Pm-3m
22014;10204;P3m1
4837;10205;Immm
22015;10206;P3m1
17917;10208;Pm-3m
5608;10209;R-3m
22017;10210;P3m1
20481;10212;P63mc
20482;10213;P63mc
17154;10215;F-43m
17924;10217;P4/mmm
31336;10218;Fd-3m
18693;10219;Pm-3m
17158;10220;P4/mmm
17926;10221;Pm-3m
29803;10223;Fm-3m
17672;10224;Pm-3m
17928;10225;Pm-3m
29804;10226;P63/mmc
17929;10228;Pm-3m
24941;10229;R-3m
17931;10230;Pm-3m
5878;10231;Cmcm
14613;10232;P6/mmm
10466;10234;Fm-3m
21493;10235;P-4m2
12278;10236;R-3m
6134;10237;R-3m
18189;10240;Pm-3m
30065;10241;Pm-3m
10494;10242;Pm-3m
17934;10243;Pm-3m
11008;10246;Cmcm
17681;10248;Pm-3m
17937;10249;Pm-3m
30581;10250;R-3m
17682;10251;Pm-3m
7936;10252;Cmcm
2516;102529;R3m
17171;10253;P4/mmm
17190;10254;Pm-3m
30346;10255;Pm-3m
17704;10256;Pm-3m
17450;10257;Pm-3m
16167;10258;Pmm2
17452;10259;Fm-3m
17965;10260;Pm-3m
6431;10261;P6/mmm
13892;10269;C2/m
3294;10270;C2/c
30573;10271;Fm-3m
18714;10274;Pm-3m
18155;102747;Cm
18716;10275;Pm-3m
18218;103008;Pm-3m
10463;10312;Fm-3m
31062;10313;P63/mmc
17151;10315;Fm-3m
31335;10316;Fm-3m
22302;10317;P-4m2
17455;10320;Pm-3m
22327;10321;P63/mmc
18273;103267;C2
17749;10354;F-43m
10474;10355;Fm-3m
10989;10356;Pm-3m
18175;10357;Pm-3m
13815;10358;Fm-3m
29575;10360;Pm-3m
17206;10361;Pm-3m
17988;10362;Pm-3m
5370;10401;P-4m2
18445;104010;P63/mmc
5403;10406;P63mc
17981;10408;Pm-3m
21315;10409;Pm-3m
22270;10412;P4/mmm
21511;10415;P63mc
17945;10416;Pm-3m
17179;10417;Pm-3m
21813;10420;F-43m
10537;10421;Pm-3m
18552;104465;F-43m
10473;10447;Fm-3m
17405;10449;Fm-3m
13818;10451;Fm-3m
18565;104518;Pnma
17947;10452;Pm-3m
18566;104522;Pnma
18568;104529;Pnma
17972;10453;Pm-3m
9510;10454;P63/mmc
