entry_id;calculation_id;delta_e
26579;100103;-2.69437
30231;100189;-0.559383
24164;100193;-3.45869
17930;10027;0.342858
21535;10029;0.152699
22340;10031;1.46086
31236;10032;-0.88034
10428;10033;-0.150144
2487;10034;-1.15756
5308;10035;-2.10973
5057;10036;-0.448628
30780;10037;-1.16189
12908;10039;-1.54237
17594;100393;-0.259188
6868;10041;-0.021908
22256;10043;0.92447
22259;10045;-0.215758
3801;10047;-0.0848162
18162;10048;-0.160961
17908;10051;-0.899697
5086;10052;-3.1054
19192;10053;-0.51904
17913;10054;-0.380649
19193;10055;-0.504223
18170;10057;-0.159623
22013;10058;-0.380505
4580;10059;-0.20533
17915;10060;-0.0909597
18171;10061;0.234422
21502;10062;-0.391795
8426;10064;-0.200254
18173;10066;-0.23101
22016;10067;-0.41587
31333;10068;-1.2678
25958;10069;-0.259539
17157;10070;-0.128046
10747;10071;-0.488232
13826;10072;0.196605
11006;10074;-0.239697
18703;10075;-0.706808
8116;10076;-0.0855484
29555;10077;-0.224693
7687;10078;-0.612559
17437;10079;-0.0663296
17954;10080;-0.539331
17695;100807;0.0624872
18722;10081;-0.412315
17773;101129;-0.681772
17807;101276;-0.290127
17836;101394;-0.285808
17868;101527;-0.446773
20917;10178;0.184133
4155;10179;-0.297753
5305;10180;-2.82851
10185;10182;-0.470169
10446;10183;-0.28334
30796;10185;-0.325418
8152;10186;-0.713795
29006;10187;-0.263786
17644;10188;-0.59359
17652;10189;-0.10948
5088;10190;-1.87289
10471;10191;-0.386582
10728;10192;-0.517777
16360;101958;-1.48783
10461;10197;-0.200551
19816;101972;-0.645521
10462;10198;-0.18635
22266;10200;-0.143509
17912;10201;-0.346203
22014;10204;-0.435431
4837;10205;0.00594735
22015;10206;-0.40185
17917;10208;-0.0765149
5608;10209;-3.60838
22017;10210;-0.477399
20481;10212;-3.1233
20482;10213;-1.22605
17154;10215;-0.354381
17924;10217;-0.360108
31336;10218;-0.324597
18693;10219;-0.868431
17158;10220;-0.104326
17926;10221;-0.12643
29803;10223;0.0351471
17672;10224;-0.111225
17928;10225;-0.232525
29804;10226;-0.0726708
17929;10228;-0.21308
24941;10229;-0.211995
17931;10230;0.148792
5878;10231;-0.517167
14613;10232;0.222162
10466;10234;-0.473105
21493;10235;-0.855383
12278;10236;-1.03946
6134;10237;-1.19789
18189;10240;-0.0407303
30065;10241;-0.180612
10494;10242;-0.395382
17934;10243;-0.287383
11008;10246;-0.254802
17681;10248;-0.358892
17937;10249;-0.36348
30581;10250;-1.04801
17682;10251;0.0663786
7936;10252;-0.837843
2516;102529;-2.29783
17171;10253;-0.0275358
17190;10254;-0.235442
30346;10255;-0.493636
17704;10256;-0.0240053
17450;10257;-0.0127565
16167;10258;-0.158841
17452;10259;-0.181719
17965;10260;-0.717657
6431;10261;-0.425699
13892;10269;-0.592346
3294;10270;-0.805811
30573;10271;-0.163546
18714;10274;-0.687712
18155;102747;-0.125504
18716;10275;-0.454776
18218;103008;2.33149
10463;10312;-0.181058
31062;10313;-0.892571
17151;10315;0.0661071
31335;10316;-0.339029
22302;10317;-0.261506
17455;10320;-0.403236
22327;10321;-2.91228
18273;103267;-0.876809
17749;10354;0.305229
10474;10355;-0.82957
10989;10356;-0.184149
18175;10357;-0.259777
13815;10358;-0.128389
29575;10360;-0.254737
17206;10361;-0.487088
17988;10362;-0.697549
5370;10401;-0.409754
18445;104010;-0.25836
5403;10406;-0.367201
17981;10408;-0.92452
21315;10409;-0.143342
22270;10412;-2.06205
21511;10415;0.95252
17945;10416;-0.854394
17179;10417;-0.526345
21813;10420;-0.331978
10537;10421;-0.0962618
18552;104465;-0.274908
10473;10447;-0.645362
17405;10449;-0.271053
13818;10451;-0.379629
18565;104518;-0.693873
17947;10452;-0.825939
18566;104522;-0.675747
18568;104529;-0.193693
17972;10453;-0.641766
9510;10454;-0.316245
18602;104677;-0.35377
18181;10470;-0.0873041
16382;10484;-0.565773
6901;10486;-2.01438
18652;104916;-0.870757
18654;104929;-0.630788
10816;10493;-0.43287
18655;104936;-0.653142
28203;10497;-0.793192
17150;10499;-0.320874
18705;10500;-0.426899
17468;10506;-0.904236
3873;105067;-1.02747
