entry_id;calculation_id;band_gap
26579;100103;0
30231;100189;0
24164;100193;4.632
17930;10027;0
21535;10029;0
22340;10031;0
31236;10032;0
10428;10033;0
2487;10034;2.453
5308;10035;0
5057;10036;0
30780;10037;0
12908;10039;0
17594;100393;0
6868;10041;0
22256;10043;0
22259;10045;0
3801;10047;0
18162;10048;0
17908;10051;0
5086;10052;2.536
19192;10053;0
17913;10054;0
19193;10055;0
18170;10057;0
22013;10058;0.31
4580;10059;2.501
17915;10060;0
18171;10061;0
21502;10062;0
8426;10064;0
18173;10066;0
22016;10067;0.594
31333;10068;2.726
25958;10069;0
17157;10070;0
10747;10071;0
13826;10072;0
11006;10074;0
18703;10075;0
8116;10076;0
29555;10077;0
7687;10078;0
17437;10079;0
17954;10080;0
17695;100807;0
18722;10081;0
17773;101129;0
17807;101276;0
17836;101394;0
17868;101527;0
20917;10178;0
4155;10179;0
5305;10180;3.691
10185;10182;0.816
10446;10183;0
30796;10185;0
8152;10186;1.384
29006;10187;0
17644;10188;0
17652;10189;0
5088;10190;1.787
10471;10191;0
10728;10192;0
16360;101958;1.461
10461;10197;0
19816;101972;0
10462;10198;0
22266;10200;0
17912;10201;0
22014;10204;0.652
4837;10205;3.426
22015;10206;0.408
17917;10208;0
5608;10209;0
22017;10210;0.589
20481;10212;3.481
20482;10213;0.218
17154;10215;0
17924;10217;0
31336;10218;0
18693;10219;0
17158;10220;0
17926;10221;0
29803;10223;0
17672;10224;0
17928;10225;0
29804;10226;0
17929;10228;0
24941;10229;0
17931;10230;0
5878;10231;0
14613;10232;0
10466;10234;0
21493;10235;1.578
12278;10236;1.512
6134;10237;1.089
18189;10240;0
30065;10241;0
10494;10242;0
17934;10243;0
11008;10246;0
17681;10248;0
17937;10249;0
30581;10250;1.94
17682;10251;0
7936;10252;0
2516;102529;5.799
17171;10253;0
17190;10254;0
30346;10255;0
17704;10256;0
17450;10257;0
16167;10258;1.878
17452;10259;0
17965;10260;0
6431;10261;1.22
13892;10269;1.867
