entry_id;calculation_id;name
25672;1352933;CsHoSiS4
1216058;2454;Lu
1216098;2689;Tm
4698;3346;Ne
8130;3588;La
8132;3592;Pr
8203;3612;Kr
7503;3619;V
8533;3620;Rb
7517;3624;Ta
8082;3629;V
8086;3637;Ne
8100;3638;Al
12054;3681;Ne
8500;3697;K
7514;3721;Rh
9566;3723;Er
9320;3726;Zr
10106;3729;Ho
8586;3732;Lu
17350;3749;Tb
12055;3763;Ne
16720;3788;P
7513;3794;Ru
7521;3798;Ir
17319;3804;Gd
22514;3829;Fe
22516;3833;Ni
7505;3845;Fe
7512;3847;Tc
7519;3849;Re
7522;3853;Pt
6321;3859;YbSe
5810;3861;SiP
18114;3908;SmZn
22472;3911;SiC
8391;3976;U
7509;3977;Zr
7520;3980;Os
17859;3981;ZnNi
10676;3983;TiAg
17860;3984;ZnNi
6320;3986;YbTe
10678;3987;TmAg
17352;3991;UTe
10681;3992;YAg
10937;3994;LiBi
21452;3995;TcB
17610;3997;LiTl
10683;3998;YbAg
18891;3999;PrTl
17612;4001;LuMg
19149;4003;MnAu
17360;4004;YbZn
4566;4007;SiC
8134;4044;Yb
8138;4047;Eu
31044;4049;Sb
8144;4050;Yb
8520;4060;Sr
3925;4064;Gd
13761;4069;TaN
30000;4071;ErIr
18895;4073;PrZn
8143;4075;Tm
7648;4076;CaSe
7649;4086;CaTe
8390;4108;Ti
9214;4113;Sb
12056;4117;Ne
9277;4136;Se
9287;4137;Si
28966;4153;CaPb
30508;4154;HPd
31023;4158;TiRh
31025;4160;VRh
31283;4161;CuAu
10944;4162;NaBi
30004;4164;ErMg
8386;4165;SiRh
18984;4183;Si
13862;4191;Li
20540;4200;P
20541;4201;P
8534;4208;Na
8568;4213;Fe
13705;4220;Np
8597;4222;Mg
17585;4224;Li
19150;4236;MnAu
30264;4237;VFe
31032;4239;TaRu
22272;4247;Ge
18780;4258;Sb
13650;4260;Th
9316;4265;Tm
5499;4267;H
5517;4268;H
21449;4274;TcB
8118;4276;HoAs
21453;4278;TcB
8122;4280;HoSe
18131;4281;TlSn
17621;4283;LuPd
18903;4284;YbRh
18904;4286;YbRu
17625;4289;LuRh
20443;4291;AgI
17627;4295;LuRu
18140;4297;SrTl
8139;4299;Gd
17629;4306;LuZn
17630;4308;NdMg
8141;4310;Ho
19423;4314;TiFe
22242;4316;ScN
6318;4333;NaH
17349;4337;Tb
18896;4340;PrZn
18136;4342;YbSn
30785;4346;NbRh
19422;4352;VOs
8142;4353;Er
22243;4357;ScP
28740;4358;LiBi
10705;4359;CdAu
18145;4361;TaTc
27974;4363;TiAl
8145;4366;Lu
17380;4368;HfOs
18148;4370;TbTl
28744;4372;NaBi
30536;4374;TiHg
30025;4376;ErPd
17638;4378;MgPd
10711;4382;CsAu
10712;4388;RbAu
17640;4390;PrMg
18152;4392;TbZn
18153;4394;TbZn
17386;4395;HfRh
10715;4398;DyAu
29007;4399;LuCd
10972;4401;CaCd
9301;4419;Tb
22248;4439;FePd
18156;4441;TiTc
17389;4442;HfRu
18157;4443;VTc
8156;4445;TbSb
17646;4446;MgRh
20463;4448;CeMg
20464;4452;PmMg
20721;4453;YCu
10720;4456;ErAu
17392;4458;HfTc
17904;4460;TiOs
20465;4461;EuMg
20466;4463;GdMg
17650;4464;SmMg
17906;4466;ZrOs
18674;4468;ZnRh
20467;4469;ErMg
22309;4478;U
12059;4483;Ne
9297;4491;Sn
22473;4495;GeC
8119;4498;HoSb
20684;4500;ZnO
22262;4505;ScC
29784;4509;ScCu
30040;4511;ErRh
17397;4512;HoHg
22264;4514;YC
12057;4536;Ne
12058;4537;Ne
10325;4546;Se
10105;4549;Ho
14014;4554;SnP
8123;4556;HoTe
4543;4559;HgSe
11469;4561;CuO
29003;4563;LaCd
20469;4566;CuN
5497;4601;H
4523;4610;HgS
22475;4611;SnC
17907;4625;ScP
29018;4627;CdPd
10182;4659;AgCl
9672;4660;Sb
10445;4664;DyAl
14034;4665;PbS
30534;4668;HgPd
29013;4672;NdCd
8162;4674;GdAs
22476;4692;SnC
17353;4694;ZnTe
22221;4696;NiC
17383;4710;HfPt
8155;4714;TbAs
8115;4734;Ga
18147;4742;TbTe
30535;4744;HgPt
30537;4749;ZrHg
17898;4752;TiO
14052;4755;PrTe
8163;4761;GdSb
21451;4787;TcB
30533;4788;NiHg
13784;4789;NbS
14051;4792;PrSb
20468;4794;NiN
4578;4802;MnSe
10729;4804;GdAu
17657;4805;TbMg
18169;4806;TmTl
10986;4807;CaHg
17402;4808;LaHg
12061;4844;Ne
12062;4845;Ne
12064;4847;Ne
8165;4866;DySb
4579;4870;MnSe
17404;4871;LiHg
17660;4873;MgTl
18172;4874;YTl
3311;4880;SnP
18967;4904;Li
19480;4905;I
12060;4907;Ne
12063;4908;Ne
8164;4918;DyAs
17661;4919;TmMg
5624;4944;SrS
5625;4948;SrSe
5626;4955;CaS
4177;4961;He
14036;4964;TePb
29020;4966;PrCd
29022;4967;CdPt
5627;4976;MgS
6912;5002;CrN
14035;5021;PbSe
5578;5023;VO
22263;5029;YC
29023;5031;CdPt
17406;5033;LuHg
18174;5034;YbTl
10991;5035;CaIn
17407;5036;MgHg
17663;5037;YMg
20737;5038;BeO
10480;5039;AlIr
10736;5040;HoAu
18176;5041;TmZn
2562;5057;Kr
12065;5073;Ne
12074;5080;Ne
4672;5084;Pa
8159;5092;TbSe
17655;5093;SrMg
8166;5095;DyTe
8167;5096;ErAs
29029;5099;ScCd
30309;5100;GaNi
5613;5101;HBr
9972;5103;ZrPd
10997;5105;CaPb
17413;5108;MnHg
1797;5115;NbN
12067;5129;Ne
12069;5130;Ne
12070;5131;Ne
12073;5133;Ne
17557;5139;La
22474;5140;GeC
13762;5144;TaN
14025;5145;TmP
8154;5146;TbP
17399;5147;InHg
6117;5149;HgTe
31334;5151;FePt
17414;5153;MnHg
29034;5155;SmCd
3084;5174;WC
4110;5176;CsCl
18981;5184;Sr
18988;5187;I
8147;5192;Y
8158;5194;TbS
7652;5196;ZnS
8168;5198;ErSb
8170;5199;TmAs
22530;5200;MgAg
22284;5209;ZrC
30061;5210;ErTl
22285;5213;ZrN
21518;5214;AuC
29039;5215;TmCd
22287;5216;TbAl
11005;5218;CaTl
4111;5224;CsBr
14032;5239;ZrP
8146;5242;Sc
8173;5248;BaSe
5615;5249;HCl
20234;5250;MgS
17419;5251;NdHg
31087;5254;TlSn
17935;5259;YbPb
29043;5261;YCd
30067;5262;ErZn
29044;5264;YbCd
10497;5267;MnAl
20242;5271;MoN
2577;5281;MgO
2578;5284;MnO
2580;5289;NiO
8117;5295;HoP
20685;5297;ZnO
6116;5304;ZnTe
6628;5305;AgO
13807;5308;NiO
17670;5310;MnNi
21515;5311;ReC
20235;5312;MgTe
17676;5313;MnPd
31091;5315;YbSn
17424;5316;PrHg
19476;5317;NdAl
17429;5318;SrHg
17686;5320;MnRh
9226;5322;Mg
5404;5336;FeO
10930;5349;GdBi
8121;5351;HoS
18905;5352;ZrS
6119;5355;HgTe
21508;5362;PdN
31079;5364;SmTl
11508;5366;TlBr
22537;5368;AlBi
21516;5370;IrC
29816;5371;TbCu
17432;5372;TbHg
17944;5374;ScPd
11019;5375;DyCd
5664;5381;BP
4641;5390;AlP
12068;5399;Ne
8171;5405;TmSb
21510;5411;PdN
21517;5414;PtC
30063;5415;ErTl
18193;5418;AlRu
30843;5419;NiPt
9225;5420;Zn
17436;5422;TiHg
11022;5424;ErCd
8169;5446;ErTe
11510;5447;RbI
18721;5449;TiAl
4138;5459;ScS
5677;5461;TlCl
6958;5469;ZnO
5166;5473;LiCl
4656;5477;InAs
5426;5483;LiBr
5427;5488;LiI
8157;5497;TbBi
17671;5498;MnNi
11000;5499;CaPd
30060;5501;ErTe
17168;5503;TbCu
17680;5504;MnPt
11012;5505;CeCd
6913;5506;YN
29826;5507;TmCu
17441;5508;TmHg
10516;5509;AlNi
17700;5510;MnV
17446;5511;YbHg
4149;5523;HfC
4150;5529;VC
5176;5535;ScN
22268;5539;CrTe
11511;5541;KI
11512;5543;KBr
17685;5550;MnRh
5632;5551;AlO
8206;5557;NiO
10777;5558;MgAu
5177;5560;ZrN
7484;5566;LiF
5179;5572;TaC
5181;5581;CaO
6974;5582;PbSe
8001;5584;GeTe
12071;5587;Ne
12072;5588;Ne
14029;5590;YP
5611;5593;PdO
21513;5594;HfC
8182;5595;RuC
11514;5596;CsF
29551;5597;CrH
21520;5598;ScSi
17427;5600;ScHg
22298;5602;SrO
17187;5605;ErIn
21289;5606;TiPd
29834;5607;ZrCu
20780;5609;SrS
8480;5611;SiRu
5182;5615;SrO
6975;5617;TePb
4671;5626;PaO
5183;5628;BaO
18160;5630;Th
10940;5636;LuBi
8383;5637;NpP
8389;5638;ThN
6095;5639;ThS
10965;5640;ThBi
30819;5641;NdTe
11505;5642;CsBr
21509;5643;PdN
5616;5645;HCl
22308;5652;BOs
17457;5654;HoIr
17970;5655;TiPd
8112;5690;MoC
5834;5693;WN
6118;5695;CdTe
11509;5697;RbBr
30058;5698;ErTe
21514;5699;TaC
11517;5703;TaO
17425;5704;HgPt
7682;5705;Te
8196;5706;Zr
9221;5707;Sb
22306;5710;ReN
31121;5712;YZn
31126;5714;ZrZn
17460;5715;HoMg
4163;5722;VN
12066;5727;Ne
17861;5729;ZnNi
13795;5731;NdP
4568;5732;UN
7651;5734;Ge
8172;5735;YbAs
22305;5737;ReN
17454;5740;HoIn
30357;5744;TiGa
10789;5745;NdAu
5151;5746;RbCl
10793;5748;PrAu
20282;5749;YAs
20241;5767;MoN
17439;5773;TlHg
30618;5779;NbIr
17207;5780;DyTl
20281;5781;YP
17467;5784;HoPd
17980;5785;TmPd
30370;5787;YbGa
10544;5789;AlOs
11312;5790;TlSb
17987;5791;YbPd
10550;5792;AlPd
10817;5793;TmAu
31106;5810;Th
10963;5811;ScBi
6096;5812;US
14050;5813;PrS
18158;5814;TmTe
5081;5815;ThSe
20743;5820;PtN
20744;5821;PtN
28037;5826;GdAs
17443;5827;YHg
4108;5828;KI
17448;5830;ZrHg
17197;5831;ErTl
17459;5832;HoMg
17492;5833;LuIr
5709;5836;CdS
7247;5847;Ru
7248;5852;Re
5714;5858;Si
18159;5860;YTe
22281;5862;PtC
20243;5863;MoN
22304;5864;ReN
17212;5867;EuHg
8235;5869;BAs
10797;5870;ScAu
30881;5872;ZnNi
10542;5873;SmAl
10799;5875;SmAu
17474;5876;HoRh
29867;5878;DyHg
17746;5880;NbRh
6836;5914;O
6100;5916;PuN
11507;5918;TlCl
17170;5919;TiCu
10775;5920;LuAu
11031;5921;HoCd
18741;5923;ZnAu
21569;5925;VN
30632;5926;VIr
17989;5927;ZnPd
17479;5928;HoTl
29100;5929;CeHg
29868;5930;DyIn
17481;5931;HoZn
10810;5932;TbAu
17995;5933;ScPt
10813;5937;TiAu
4949;5943;NdAs
3670;5955;GeP
3671;5958;GeAs
17750;5970;NbRu
18015;5972;TiPt
30774;5978;N
8161;5980;YSb
11516;5984;ScO
13825;5985;NdSb
21519;5986;ScC
17422;5987;HgPd
19509;5993;YbO
31332;6004;CdTe
17677;6006;MnPd
11013;6008;CeCd
3679;6014;AgF
30376;6023;GdIn
21321;6024;CaSe
17225;6025;FeNi
7479;6027;Si
10558;6030;PrAl
17486;6031;HoAg
10561;6032;AlPt
5180;6033;BeO
4707;6039;CdO
21307;6043;ErP
21563;6044;CrTe
3685;6049;RbCl
17703;6050;MnZn
7452;6051;FeN
30616;6054;MnIr
30631;6057;TiIr
7523;6062;ZnSe
3682;6068;NaBr
3683;6069;KCl
5736;6073;CeS
21324;6076;AgN
6924;6084;NbO
4109;6085;RbI
17490;6087;LiIr
10823;6088;YbAu
5734;6091;LaS
3684;6094;KBr
5735;6095;LaTe
3686;6097;RbBr
8120;6100;HoBi
4567;6105;UC
17421;6113;NiHg
20240;6114;MoN
1897;6116;ScAs
1898;6119;ScSb
17215;6121;EuPb
4151;6122;ZrC
17751;6123;NbRu
12625;6124;CsH
18797;6126;CeZn
5737;6127;PrTe
5738;6128;NdS
30095;6145;EuIn
21322;6147;RuN
4657;6148;InSb
10822;6150;YAu
5236;6154;LaSe
6097;6158;NpO
18979;6159;Si
22310;6160;MnTe
22313;6161;PtC
5686;6162;NaF
8487;6165;InTe
21323;6166;RhN
30124;6167;EuPb
21326;6168;IrN
22360;6169;CrC
7540;6176;PdO
29026;6190;CdS
18199;6194;LaAs
14102;6198;CuCl
21332;6200;AgN
17780;6203;NdZn
8051;6210;ZrH
18488;6222;TmTe
21327;6223;AuN
13637;6224;WN
17496;6226;MnIr
5242;6231;GdSe
8472;6235;TiB
28054;6236;InAs
10539;6239;ScAl
11589;6241;PbS
10576;6242;AlRh
10087;6245;HRh
29922;6246;DyRh
21308;6249;ErAs
8239;6251;CeAs
5695;6253;BaTe
17500;6254;NbIr
5238;6256;PrSe
14105;6258;CuBr
20836;6261;ScAs
4708;6262;AlSb
5239;6288;NdSe
20089;6291;K
6099;6292;NpN
10969;6293;TmBi
6101;6294;PuC
10971;6296;YBi
21522;6298;ScSn
21330;6300;RuN
21338;6301;AuN
8519;6302;Sr
17248;6303;GaIr
18785;6305;GdCd
30405;6306;GdRh
18050;6310;TiRe
17795;6311;ScNi
22410;6312;CuPd
30778;6320;WN
8394;6321;He
10957;6322;PrBi
20522;6327;LaN
27280;6328;GeTe
21325;6329;OsN
20565;6330;WC
10573;6332;AlRe
13907;6333;MoC
22370;6334;PdC
20837;6335;ScSb
18788;6337;TbCd
5241;6343;EuSe
4731;6349;GdO
8113;6351;ScC
8384;6352;NpS
22368;6356;AgC
10323;6358;USb
30152;6359;EuTl
17512;6360;ScIr
8063;6365;ThC
18987;6374;I
8273;6377;SnAs
29642;6378;GdCu
8506;6384;LaN
6098;6415;PuO
5614;6416;HBr
