entry_id;calculation_id
10914;10010
14328;10021
14937;10022
14646;10023
14590;10024
14489;10026
14551;10027
20607;10028
19422;10029
19931;10030
20166;10031
20608;10032
20662;10033
19552;10034
59640;10040
55424;10041
55608;10042
55149;10043
16347;10044
16348;10045
16224;10046
15042;10049
14732;10050
19530;10054
8333;10055
19573;10056
20326;10057
8096;10058
8228;10059
11160;10062
6567;10066
22280;10067
27175;10068
27151;10069
11607;10071
8195;10073
14385;10074
8183;10075
8250;10076
6515;10077
8654;10080
6709;10081
12520;10083
8792;10084
18026;10085
6245;10087
8527;10088
8381;10089
8528;10090
11574;10093
8220;10094
8418;10096
8567;10097
8433;10098
11691;10099
11810;10100
20598;10101
7302;10102
7259;10103
4549;10105
3729;10106
13232;10107
16369;10108
15906;10109
15364;10110
8762;10111
20703;10114
19990;10115
32998;10116
8991;10117
11814;10118
20087;10119
12892;10120
33795;10121
11882;10122
12179;10123
6591;10125
20055;10126
6861;10128
8632;10131
9024;10141
16465;10143
15283;10144
15577;10145
15421;10146
16478;10147
15793;10148
16486;10149
15640;10150
15633;10151
15480;10152
15626;10153
15595;10154
31021;10155
16520;10156
15628;10157
15647;10158
20370;10159
7032;10164
7275;10165
7668;10166
12595;10172
7166;10173
9463;10180
4659;10182
10643;10183
10644;10184
10182;10185
8487;10186
18958;10190
20193;10196
17987;10198
19081;10200
19008;10201
18974;10202
19013;10203
19186;10205
22328;10221
22118;10222
21485;10223
17401;10230
9311;10236
26326;10248
14488;10254
7984;10256
10898;10263
13614;10264
19340;10266
31760;10267
20730;10268
19362;10269
20907;10271
10930;10273
19390;10274
7913;10276
6643;10280
20731;10282
19444;10283
19481;10284
17992;10285
19570;10286
34739;10287
33866;10288
10982;10289
33747;10290
15554;10292
62384;10296
34192;10301
34151;10305
15413;10306
11087;10307
17731;10308
16231;10309
34182;10310
11108;10312
6706;10315
19589;10317
19592;10318
19622;10319
6848;10320
6358;10323
4546;10325
13484;10329
19649;10330
14900;10332
19690;10333
19714;10334
13816;10335
16288;10337
8612;10338
19707;10340
19699;10341
15336;10342
13766;10343
19732;10344
11690;10345
12406;10347
11922;10349
33691;10350
21253;10351
19864;10352
19856;10353
19804;10354
12047;10355
24248;10357
6598;10359
16281;10360
6661;10361
6727;10362
13518;10363
6430;10365
8721;10366
7025;10370
8806;10372
8722;10374
6531;10375
20047;10380
7041;10381
8597;10384
12894;10385
12701;10386
13237;10387
12665;10389
20320;10390
15062;10391
15838;10394
15460;10399
33786;10400
7257;10401
20257;10402
16476;10403
15749;10408
15773;10410
7262;10426
9151;10427
10033;10428
9429;10429
12788;10431
9446;10433
22198;10434
9457;10435
9469;10438
9477;10440
9493;10443
4664;10445
10183;10446
9509;10447
31589;10450
17655;10452
23746;10454
30404;10456
17621;10458
22285;10460
10197;10461
10198;10462
10312;10463
10677;10464
10234;10466
17572;10468
33863;10470
10191;10471
10447;10473
10355;10474
17720;10476
9927;10477
33537;10478
5039;10480
22382;10481
17800;10483
27574;10484
15859;10485
13330;10488
9991;10489
17700;10492
10242;10494
5267;10497
10806;10500
34896;10501
17804;10502
10827;10503
10833;10504
12099;10505
32001;10507
34950;10512
19296;10513
27669;10514
17948;10515
5509;10516
31770;10518
19705;10520
33507;10521
10910;10522
10915;10523
33316;10524
17924;10526
32672;10527
25259;10529
12923;10531
33446;10532
10947;10534
30927;10535
10421;10537
6239;10539
19456;10540
19434;10541
5873;10542
10970;10543
5789;10544
7931;10545
14669;10546
