nr;name;title;abstract;mainAuthor
100;publication0;tuftily coagulants golds metabolical ;aggrieves tessellating adverted recirculate unscientific tracheotomize cloturing sternness keener brinier monocotyledons murrains abnegation lobbies ;1
101;publication1;grueling unrefined cymbal gratins lobbied ;gloomily gays vuggs unwed blurted adjuration orthopaedist millage multifariousness bonitos ;1
102;publication2;gloaming magical tempehs reuniter rehearings repossessing ;crumping easement agility replenisher apostleships expensively fancily stibium entwist staged noncumulative budgeted atomy inhumed ppd egos disadvantageous rougher uniquely ;1
103;publication3;coaction surgeons peruser coronae ;attainted fixative handcuffing bangers preliterate metaling bestrewed jackknifed erring gonged cunnings infrastructures jubilations thews coagent elucidations mergence catting reclaiming ;1
104;publication4;dispatch hetaerae kiwis tracker ;bureaucratization nonliving heraldry snowflakes mugwort zucchinis laxnesses mikado lactic abyssinians superscribed extrasensory murdering riskiest ;1
105;publication5;stales thieved accoutrement ;unstacked prospering cogitating reweld devastations palpations unrewarded chromed runnier pings broomstick unexpended lavatories constitutes remeasuring ;1
106;publication6;bombs gulflike balefulness jongleurs ;minibuses filmily thunderingly teasers raveled fluidizes arachnoid warmths handpicking philandered libidinization gyms forswears supernova venalities reusableness candidest predesignating ;1
107;publication7;brainpan unserviceable notifying oppressiveness ;warship raftage ambushed identically swarthier tromps jimminy disheartening buckramed microbiotic torturedly advisers fetuses scotched preaccept unreadiest bakeshops dunderheads ;1
108;publication8;reporters boozily teleport liveryman wesleyans ;throwers divagation procurable iteming idealogy standings discursive nurturers violently bulgers hist ;1
109;publication9;scrappage attainments bastardizing ;gourde anarchs cropper criers preconceals cradlers zincite brusquest arrayed cirrostratus relapses fatherlands lyricizes storefronts atherosclerosis animaters cuishes belling ;1
110;publication10;fumatory potences taskwork ;racers propended payees clayware technocracy mirthfully kinematics delime almightiness nuclein container presenters ;1
111;publication11;poached outdistance expositions ;lecithins frayings winchers stats covings frappes bobsledders expositors sacrificially maladapted litten ;1
112;publication12;matchlock loamier fagot deficits bolting attacker ;bioengineering inkblot canonizing officiously nosier endue cantles peninsulas nonrigid handmaidens spoonbill dundees scribbling ;1
113;publication13;dorms tics dyking judicializing ;capstones placoid characterized beveller soporifics tzuris whitefish pulpiest touted germaneness stalled graphics piking drabber unhurried doggedly cosmopolitanism cabbala ;1
114;publication14;couchings internationalists fagging deepening ;endorses semiconsciousness prologued undercut sieved colorcasting revisals marxist kneeholes liviers keratoid blimy regrooved fifteens ;1
115;publication15;adjudicators exasperates proselytizers hailed relives ;wintling unfederated antienvironmentalists lonesomely falsified overrighteously raptured redigestion threaped delinquently fatter lorn conducting sabotaging mitzvahs ;1
200;publication0;hoisters extending faquir ;counterpoises pontoon hours highs wetproof stripings drogue thrushes ropeway stateliness slyly schlepped gumweeds renig constituently costliness outrace appealer misplayed ;2
201;publication1;statesmanship lachrymal heterogeneously ;triangles chanticleers delegacy selvedges polonaises literalism interplanetary executorial worshiping robustest edger pronged beboppers presumptions panacean achier ;2
202;publication2;skiffs verifiable sensing blatantly unspeakably ;kryptonite dosser impureness defoliated tempehs neocolonialist outworked camporees striating irritating inmesh europeans camphor embosses outmode styluses zebraic winging enflames ;2
203;publication3;sweeps palely anticommunism piecrust heated ;hefts jeez interdicted ribbony patricides rehanging signer whalers ie ensilages marinates postured idolizers itemizations oversolicitous ;2
204;publication4;noggs mandible recalling unexcused chias ;volute defogged citrines caudexes intercommunicated groceries dribblet enzymologies subconscious skycoach ;2
205;publication5;insiders grouter waterways habited wheedled talkies ;flourishes burgles intersex mastoids floored mediational prodigally lobelia quivered scrimpier glorying neighborly corners mellifluent vitalisms possessives agendums ;2
206;publication6;deducing noisiness formalization ;cervixes propped traction prescribes flatfish abrogator sebaceous vernalizing basing mountaineers ascendable chaptering tailcoat huller descanting tootsie appealer carotidal greedily cornices ;2
207;publication7;crispens manyfold lire precepts ;luaus codpieces underspending schoolmistresses realising matchlessly scummiest hocks efficiently academicianship answerer ;2
208;publication8;semidependence uncustomary snoozy rudderless playgoers ;absolved gunstocks flaunted scandalized duplicities bespoken crudding inconsiderateness billers onager vanmen noshed twinkler cajaput naturalistic rigger wens skywrites breaststroke slashing ;2
209;publication9;beldames pneumonitis zincs remonstrantly audiovisuals defamingly ;metamorphosed interjectory cades tediously pixels monists plexus plummy fifing primacies hikers ovally hedonic hartebeest zaps hooknoses saleswomen siftings carbonless ;2
210;publication10;blinders negligence filtrable miscellaneously asbestosis ;calloused ambassadorship cultivator aerosolization percale inefficiency datchas abortionist crewelwork enthrone tighteners woodworms robbed pinners unincorporated ;2
300;publication0;execration commixing scabbiest unanswered ;grunter talmudists secundines cleaving peters download remolds fidgeter italicizes nettable permutational agitated naphthalene ayatollahs supernationalisms prosecutes fixup marshiest melancholiac appraisement ;3
301;publication1;laceworks urbanism taciturn ;mameyes anesthetizing politicoes goliaths yokemate aggrandizer otologies mortified tummy recessed goldarn agileness bolivars cardamon shouldered ;3
302;publication2;indurative uveas hoofed externalized ;clitoridectomies masochistically repose bounteously rummagers orchards outwork outrank accretes demilitarizing stipes wars bloodcurdling garbanzo epiglottis whirlybirds ;3
303;publication3;cinchonas brawniness mutism ;whipt bilbo regressiveness stomachic corporals unicorns unassorted acquirements spraining blackamoors dozers strider ;3
