undergraduateStudentID;undergraduateCourseID
1;31
1;41
1;421
1;491
11;131
11;231
11;381
11;491
21;11
21;161
21;171
21;441
31;191
31;301
31;321
31;361
41;171
41;411
41;471
51;211
51;431
51;601
61;131
61;291
61;401
71;181
71;221
71;431
71;561
81;131
81;171
81;401
81;581
91;21
91;321
101;1
101;281
111;71
111;241
111;521
121;101
121;261
131;151
131;591
141;321
141;381
151;81
151;181
151;421
151;601
161;1
161;201
161;281
171;131
171;241
171;401
171;421
181;121
181;191
181;501
181;591
191;41
191;371
191;551
191;581
201;321
201;471
211;121
211;281
221;1
221;91
221;351
231;301
231;341
241;151
241;451
241;531
251;21
251;381
251;451
261;21
261;181
261;531
271;81
271;491
281;171
281;191
291;531
291;601
301;211
301;361
301;441
301;541
311;291
311;391
311;461
311;541
321;511
321;521
331;91
331;471
331;591
341;21
341;171
341;181
341;481
351;161
351;601
361;191
361;311
361;471
361;521
371;21
371;201
371;381
371;401
381;471
381;601
391;231
391;301
391;341
391;361
401;331
401;341
411;31
411;341
411;391
421;1
421;191
431;91
431;461
441;151
441;211
441;341
451;181
451;211
451;241
451;331
461;191
461;401
461;411
471;401
471;431
471;511
481;251
481;261
491;111
491;211
491;341
501;41
501;461
501;591
511;51
511;531
521;181
521;431
531;271
531;531
541;61
541;551
551;141
551;151
551;311
551;541
561;331
561;391
571;71
571;161
571;421
571;461
581;81
581;151
581;271
591;61
591;181
591;541
601;51
601;301
601;311
601;601
611;141
611;211
611;311
611;581
621;331
621;351
631;361
631;461
631;481
641;61
641;121
641;391
641;581
651;41
651;101
651;451
651;561
661;331
661;421
661;461
671;171
671;271
671;321
681;101
681;341
681;491
681;571
691;61
691;291
691;561
701;41
701;271
701;461
701;551
711;251
711;381
711;451
711;581
721;21
721;321
721;331
721;601
731;161
731;521
741;51
741;171
741;421
741;581
751;111
751;321
751;471
761;381
761;501
771;351
771;401
781;191
781;211
781;421
791;161
791;191
791;291
791;571
801;221
801;571
811;141
811;221
811;351
811;531
821;211
821;281
821;301
821;331
831;231
831;331
831;481
831;601
841;31
841;341
851;251
851;291
851;601
861;201
861;261
861;501
871;261
871;371
871;431
871;571
881;161
881;371
881;521
891;31
891;221
891;451
891;571
901;361
901;431
911;281
911;481
911;591
921;41
921;271
931;51
931;431
941;91
941;351
941;391
941;411
951;141
951;221
951;441
951;601
961;31
961;511
971;101
971;211
971;391
971;501
981;111
981;201
981;481
991;11
991;191
991;251
991;411
1001;271
1001;541
1011;41
1011;181
1011;451
1011;461
1021;51
1021;131
1031;251
1031;461
1031;591
1041;41
1041;191
1041;421
1041;581
1051;431
1051;491
1061;1
1061;261
1061;521
1071;161
1071;401
1081;61
1081;491
1081;511
1081;581
1091;211
1091;411
1101;161
1101;271
1101;371
1101;511
1111;111
1111;351
1111;371
1121;391
1121;441
1131;311
1131;461
1131;531
1141;121
1141;201
1141;211
1141;511
1151;241
1151;391
1151;591
1161;1
1161;471
1161;571
1171;241
1171;391
1171;481
1171;561
1181;261
1181;291
1181;501
1181;541
1191;51
1191;101
1191;181
1191;561
1201;21
1201;521
1211;321
1211;411
1211;491
1221;571
1221;601
1231;11
1231;191
1231;501
1231;581
1241;151
1241;481
1241;491
1251;351
1251;371
1251;461
1251;541
1261;131
1261;361
1271;261
1271;341
1271;521
1271;581
1281;401
1281;451
1291;41
1291;71
1291;471
1291;551
1301;1
1301;431
1311;101
1311;251
1321;121
1321;361
1321;451
1331;111
1331;241
1331;501
1341;1
1341;131
1341;181
1351;101
1351;241
1351;371
1351;561
1361;71
1361;441
1361;501
1361;551
1371;31
1371;451
1381;161
1381;181
1381;471
1381;571
1391;31
1391;91
1391;261
1391;311
1401;171
1401;501
1401;531
1411;101
1411;251
1411;481
1421;101
1421;231
1421;251
1421;411
1431;121
1431;451
1431;541
1441;311
1441;421
1451;31
1451;431
1461;21
1461;151
1461;361
1461;481
1471;301
1471;461
1481;61
1481;81
1491;31
1491;351
1491;521
1491;551
1501;291
1501;421
1511;111
1511;541
1521;21
1521;531
1531;91
1531;181
1541;111
1541;471
1551;401
1551;521
1551;541
1561;41
1561;471
1561;601
1571;191
1571;261
1571;291
1571;591
1581;11
1581;471
1591;101
1591;271
1591;301
1591;551
1601;131
1601;271
1601;371
1611;171
1611;491
1621;211
1621;361
1621;601
1631;31
1631;81
1631;151
1631;401
1641;311
1641;421
1641;501
1641;521
1651;1
1651;171
1661;131
1661;301
1671;171
1671;191
1671;251
1671;551
1681;191
1681;601
1691;131
1691;301
1691;361
1701;31
1701;81
1701;501
1711;61
1711;591
1721;281
1721;371
1721;391
1731;141
1731;171
1731;211
1731;351
1741;21
1741;391
1751;41
1751;281
1761;11
1761;151
1761;591
1771;61
1771;431
1781;41
1781;371
1791;431
1791;471
1801;41
1801;191
1801;381
1801;471
1811;31
1811;151
1811;221
1821;391
1821;531
1821;601
1831;131
1831;381
1841;111
1841;301
1841;561
1851;201
1851;491
1851;581
1861;21
1861;421
1871;1
1871;501
1881;411
1881;501
1891;41
1891;481
1901;41
1901;81
1901;421
1911;21
1911;61
1911;331
1911;421
1921;11
1921;21
1921;341
1921;391
1931;161
1931;361
1941;41
1941;331
