material_id;spacegroup
mp-1000011;R3m
mp-1000116;P2_1/c
mp-1000174;P2_1/m
mp-1000217;P2_1/c
mp-1000280;P2_1/c
mp-1000302;Cm
mp-1000395;P-6m2
mp-1000409;I4/mmm
mp-1000490;I4/mmm
mp-1000500;P-6m2
mp-1000517;I4/mmm
mp-1000597;R-3
mp-1000691;P-62m
mp-1000702;Amm2
mp-1000740;I4/mmm
mp-1000742;P-6m2
mp-1000767;Fm-3m
mp-1000772;Fm-3m
mp-1000778;Fm-3m
mp-1000786;P6/mmm
mp-1000790;Fm-3m
mp-1000815;P6/mmm
mp-1000820;P6/mmm
mp-1000823;Fm-3m
mp-1000840;Fm-3m
mp-1000876;P-3m1
mp-1000907;Pm-3m
mp-1000923;P6/mmm
mp-1000978;F-43m
mp-1000983;I4/mmm
mp-1001052;I4/mmm
mp-1001140;I4/mmm
mp-1001155;P-3m1
mp-1001166;P-3m1
mp-1001175;I4/mmm
mp-1001191;I4/mmm
mp-1001204;R-3m
mp-1001273;R-3m
mp-1001323;P-6m2
mp-1001375;Pm-3m
mp-1001391;P6_3/mmc
mp-1001489;Fm-3m
mp-1001498;R-3
mp-1001504;Fm-3m
mp-1001530;I4/mmm
mp-1001664;Pm-3m
mp-1001696;I4/mmm
mp-1001704;P6_3/mmc
mp-1001705;P6_3/mmc
mp-1001721;Pnma
mp-1001928;I4/mmm
mp-1001960;I4/mmm
mp-1001985;F-43m
mp-1002009;Fm-3m
mp-1002013;I4/mmm
mp-1002019;I4/m
mp-1002183;Pm-3m
mp-1002184;F-43m
mp-1002187;Fm-3m
mp-1002188;P-6m2
mp-1002194;Pm-3m
mp-1002195;F-43m
mp-1002199;Pm-3m
mp-1002201;F-43m
mp-1002204;P-6m2
mp-1002205;Fm-3m
mp-1002212;F-43m
mp-1002214;Pm-3m
mp-1002215;P-6m2
mp-1002218;Fm-3m
mp-1002225;P-6m2
mp-1002231;Fm-3m
mp-1002323;Cmmm
mp-1003061;P6_3/mmc
mp-10038;Pm-3m
mp-10039;Pm-3m
mp-1003938;Cmmm
mp-1004656;P6_3/mmc
mp-1005;Pnma
mp-1005199;Fm-3m
mp-1005218;R-3m
mp-1005222;R-3m
mp-1005224;R-3m
mp-1005229;Cmcm
mp-1005233;R-3m
mp-1005234;R-3m
mp-1005236;R-3m
mp-1005267;Cmcm
mp-1005320;I4_1/amd
mp-1005343;Pmma
mp-1005370;Pmma
mp-1005405;P6_3/mmc
mp-1005644;Pm-3m
mp-1005667;Pm-3m
mp-1005768;Cm
mp-1005869;Cm
mp-1006043;P-62m
mp-1006072;P-62m
mp-1006366;P6/mmm
mp-10064;Fm-3m
mp-1006563;P2_1/c
mp-1006576;R32
mp-1006886;Pm-3m
mp-1006901;I4/mmm
mp-1006958;I4/mmm
mp-1006973;P-6m2
mp-1006991;I4/mmm
mp-1007;Fm-3m
mp-1007070;R-3
mp-1007150;P-62m
mp-1007151;Amm2
mp-1007187;P-6m2
mp-1007190;I4/mmm
mp-1007222;Fm-3m
mp-1007223;Fm-3m
mp-1007231;Fm-3m
mp-1007236;Fm-3m
mp-1007246;P6/mmm
mp-1007264;Fm-3m
mp-1007266;P6/mmm
