material_id;formula_pretty
mp-1000011;ZnS
mp-1000116;Li6Br3N
mp-1000174;CsCu2ICl2
mp-1000217;Sr2LiSc(B2O5)2
mp-1000280;LiIO4
mp-1000302;AlPO4
mp-1000395;Ba5Ga5Sn
mp-1000409;Sr2Cu(IO)2
mp-1000490;Sm(CuSi)2
mp-1000500;BaAlGe
mp-1000517;Tm(CuGe)2
mp-1000597;Li8IrO6
mp-1000691;Fe2P
mp-1000702;TbNiC2
mp-1000740;PrC2
mp-1000742;BaAsPd
mp-1000767;YTe
mp-1000772;HoS
mp-1000778;UAs
mp-1000786;ErB2Ru3
mp-1000790;ThAs
mp-1000815;ThB2Ir3
mp-1000820;LaSi2Ru3
mp-1000823;ThSb
mp-1000840;USb
mp-1000876;Dy(AlSi)2
mp-1000907;ThSb
mp-1000923;CeSi2Ir3
mp-1000978;YbSbPd
mp-1000983;Ba2CuF6
mp-1001052;TmC2
mp-1001140;La(SiRh)2
mp-1001155;Te2Rh
mp-1001166;La2PI2
mp-1001175;Nd(SiAu)2
mp-1001191;Ho(MnGe)2
mp-1001204;B5Mo2
mp-1001273;SmMg2Ni9
mp-1001323;Ba5Ga5Sn
mp-1001375;YbRu
mp-1001391;ScOs2
mp-1001489;DyTe
mp-1001498;HgRhF6
mp-1001504;HfB
mp-1001530;Er(NiP)2
mp-1001664;YSn3
mp-1001696;Tm(CuGe)2
mp-1001704;CaHgPb
mp-1001705;Be2Fe
mp-1001721;TbNi
mp-1001928;Er(GeRu)2
mp-1001960;Nd(SiIr)2
mp-1001985;YbSbPd
mp-1002009;ZrInPt2
mp-1002013;Nd(NiP)2
mp-1002019;Nb4N5
mp-1002183;TcB
mp-1002184;TcB
mp-1002187;TcB
mp-1002188;TcB
mp-1002194;TcB
mp-1002195;TcB
mp-1002199;TcB
mp-1002201;TcB
mp-1002204;TcB
mp-1002205;TcB
mp-1002212;TcB
mp-1002214;TcB
mp-1002215;TcB
mp-1002218;TcB
mp-1002225;TcB
mp-1002231;TcB
mp-1002323;NaH2Pd3
mp-1003061;DyAl3
mp-10038;Er3AlC
mp-10039;Pr3AlC
mp-1003938;NaH2Pd3
mp-1004656;DyAl3
mp-1005;FeP
mp-1005199;DyTe
mp-1005218;Yb
mp-1005222;ScAgO2
mp-1005224;Na
mp-1005229;LuSi2Ni
mp-1005233;Yb
mp-1005234;Na
mp-1005236;ScAgO2
mp-1005267;LuSi2Ni
mp-1005320;YbAgS2
mp-1005343;MgCu
mp-1005370;MgCu
mp-1005405;NdVGe3
mp-1005644;Mg3Hg
mp-1005667;Mg3Hg
mp-1005768;TmMg5
mp-1005869;TmMg5
mp-1006043;Yb3In3Ge2Au
mp-1006072;Yb3In3Ge2Au
mp-1006366;Ce2Si3Rh
mp-10064;SiO2
mp-1006563;SiO2
mp-1006576;Mg3Hg
mp-1006886;CeS
mp-1006901;Sr2Cu(IO)2
mp-1006958;Sm(CuSi)2
mp-1006973;BaAlGe
mp-1006991;Tm(CuGe)2
mp-1007;DySb
mp-1007070;Li8IrO6
mp-1007150;Fe2P
mp-1007151;TbNiC2
mp-1007187;BaAsPd
mp-1007190;PrC2
mp-1007222;YTe
mp-1007223;HoS
mp-1007231;UAs
mp-1007236;ThAs
mp-1007246;ErB2Ru3
mp-1007264;ThSb
mp-1007266;ThB2Ir3
mp-1007269;LaSi2Ru3
mp-1007285;USb
mp-1007318;Dy(AlSi)2
mp-1007352;ThSb
mp-1007370;CeSi2Ir3
mp-1007401;YbSbPd
mp-1007418;Ba2CuF6
mp-1007452;TmC2
mp-1007514;La(SiRh)2
mp-1007530;Te2Rh
mp-1007537;La2PI2
mp-1007550;Nd(SiAu)2
mp-1007569;B5Mo2
mp-1007573;Ho(MnGe)2
mp-1007630;SmMg2Ni9
mp-1007644;CeS
mp-1007662;CeS
mp-1007684;Ba5Ga5Sn
mp-1007700;CeS
mp-1007760;Ge
mp-1007791;Ge
mp-1007799;YbRu
mp-1007816;ScOs2
mp-1007822;Ge
mp-1007858;Ge
mp-1008011;HfB
mp-1008018;HgRhF6
mp-1008033;Er(NiP)2
mp-1008091;YSn3
mp-1008137;CaHgPb
mp-1008141;Be2Fe
mp-1008143;Tm(CuGe)2
mp-1008190;TbNi
mp-1008264;Er(GeRu)2
mp-1008312;Nd(SiIr)2
mp-1008353;YbSbPd
mp-1008384;ZrInPt2
mp-1008387;Nd(NiP)2
mp-1008401;Nb4N5
mp-1008472;CdSiP2
mp-1008487;BW
mp-1008494;CdSiP2
mp-1008509;CdSiP2
mp-1008515;BW
mp-1008521;CdSiP2
mp-1008565;BW
mp-1008569;BW
mp-1008624;YBiPd
mp-1008639;YBiPd
