material_id;energy
mp-1000011;-70.1775
mp-1000116;-70.816
mp-1000174;-39.1962
mp-1000217;-552.581
mp-1000280;-108.72
mp-1000302;-805.809
mp-1000395;-34.1715
mp-1000409;-32.5756
mp-1000490;-26.7642
mp-1000500;-11.7012
mp-1000517;-24.2128
mp-1000597;-78.5119
mp-1000691;-71.1087
mp-1000702;-60.3633
mp-1000740;-23.5287
mp-1000742;-14.5649
mp-1000767;-12.2244
mp-1000772;-12.6536
mp-1000778;-17.3726
mp-1000786;-48.6335
mp-1000790;-14.8609
mp-1000815;-51.4955
mp-1000820;-47.5445
mp-1000823;-13.3508
mp-1000840;-15.723
mp-1000876;-24.8139
mp-1000907;-13.1658
mp-1000923;-48.7563
mp-1000978;-13.5418
mp-1000983;-46.9882
mp-1001052;-23.5157
mp-1001140;-35.8696
mp-1001155;-14.8215
mp-1001166;-26.3612
mp-1001175;-25.2305
mp-1001191;-34.5199
mp-1001204;-54.5867
mp-1001273;-63.0656
mp-1001323;-34.1582
mp-1001375;-10.387
mp-1001391;-119.796
mp-1001489;-10.2995
mp-1001498;-30.6554
mp-1001504;-17.4686
mp-1001530;-31.9835
mp-1001664;-20.1965
mp-1001696;-23.4766
mp-1001704;-14.0755
mp-1001705;-65.9486
mp-1001721;-135.289
mp-1001928;-35.5319
mp-1001960;-38.5914
mp-1001985;-11.4921
mp-1002009;-26.6305
mp-1002013;-32.0879
mp-1002019;-90.6803
mp-1002183;-16.7562
mp-1002184;-15.6019
mp-1002187;-17.057
mp-1002188;-17.6047
mp-1002194;-16.7486
mp-1002195;-15.6024
mp-1002199;-16.7465
mp-1002201;-15.608
mp-1002204;-17.6042
mp-1002205;-17.054
mp-1002212;-15.3521
mp-1002214;-16.9667
mp-1002215;-17.6048
mp-1002218;-17.0549
mp-1002225;-17.127
mp-1002231;-15.9653
mp-1002323;-24.7243
mp-1003061;-35.1216
mp-10038;-19.4647
mp-10039;-28.0469
mp-1003938;-24.7265
mp-1004656;-35.1265
mp-1005;-60.2599
mp-1005199;-10.2996
mp-1005218;-4.58171
mp-1005222;-28.1884
mp-1005224;-3.92653
mp-1005229;-48.6528
mp-1005233;-4.58079
mp-1005234;-3.92969
mp-1005236;-28.1929
mp-1005267;-48.6497
mp-1005320;-33.2037
mp-1005343;-11.76
mp-1005370;-11.7601
mp-1005405;-60.4598
mp-1005644;-5.64258
mp-1005667;-5.6318
mp-1005768;-12.4034
mp-1005869;-12.4063
mp-1006043;-31.0119
mp-1006072;-31.0154
mp-1006366;-81.7037
mp-10064;-19.9319
mp-1006563;-569.35
mp-1006576;-33.3758
mp-1006886;-13.4019
mp-1006901;-32.5942
mp-1006958;-26.7662
mp-1006973;-11.7026
mp-1006991;-24.2125
mp-1007;-10.9899
mp-1007070;-78.6317
mp-1007150;-71.0446
mp-1007151;-60.387
mp-1007187;-14.5696
mp-1007190;-23.5287
mp-1007222;-12.2248
mp-1007223;-12.6533
mp-1007231;-17.3703
mp-1007236;-14.862
mp-1007246;-48.6508
mp-1007264;-13.3508
mp-1007266;-51.526
mp-1007269;-47.5525
mp-1007285;-15.72
mp-1007318;-24.818
mp-1007352;-13.1668
mp-1007370;-48.7722
mp-1007401;-13.543
mp-1007418;-46.9678
mp-1007452;-23.5168
mp-1007514;-35.8758
mp-1007530;-14.8434
mp-1007537;-26.3606
mp-1007550;-25.2345
mp-1007569;-54.5935
mp-1007573;-34.4769
mp-1007630;-63.07
mp-1007644;-13.4086
mp-1007662;-13.4076
mp-1007684;-34.4708
mp-1007700;-14.2703
mp-1007760;-18.4125
mp-1007791;-18.4191
mp-1007799;-10.595
mp-1007816;-118.629
mp-1007822;-18.4237
mp-1007858;-16.138
mp-1008011;-17.4704
mp-1008018;-30.743
mp-1008033;-31.9871
mp-1008091;-20.1913
mp-1008137;-14.083
mp-1008141;-65.9589
mp-1008143;-23.4794
mp-1008190;-135.322
mp-1008264;-35.5441
mp-1008312;-38.6126
mp-1008353;-11.4938
mp-1008384;-26.6357
mp-1008387;-32.0937
mp-1008401;-90.6803
mp-1008472;-14.747
mp-1008487;-40.6945
mp-1008494;-14.7483
mp-1008509;-14.7472
mp-1008515;-40.6903
mp-1008521;-14.3889
mp-1008565;-40.6945
mp-1008569;-40.1511
mp-1008624;-18.3705
mp-1008639;-18.3706
mp-1008644;-18.3742
mp-1008651;-17.4563
mp-1008661;-8.00866
mp-1008673;-5.9234
mp-1008674;-8.00303
mp-1008684;-8.00688
mp-1008685;-5.93981
mp-1008687;-8.23587
mp-1008691;-5.93816
mp-1008699;-5.85057
mp-1008733;-8.60705
mp-1008760;-8.5869
mp-1008767;-8.5792
mp-1008778;-10.0976
mp-1008924;-10.3239
mp-1008952;-10.3191
mp-1008975;-10.3154
mp-1008993;-10.2177
mp-1009543;-16.4958
mp-1009562;-16.4959
mp-1009572;-16.4998
mp-1009580;-15.5499
mp-1009830;-7.89651
mp-1009872;-15.0947
mp-1009880;-18.3288
mp-1009889;-14.8795
mp-1010161;-11.3655
mp-1010213;-11.3506
mp-1010222;-11.3509
mp-1010223;-11.3375
mp-1010315;-35.226
mp-1010755;-9.38776
mp-1010785;-4.93039
mp-1010787;-5.66318
mp-1010798;-28.289
mp-1010814;-48.0931
mp-1010825;-11.8381
mp-1010871;-60.4686
mp-1010972;-5.14729
mp-1011087;-14.4317
mp-1011196;-30.3995
mp-1011371;-569.332
mp-1011381;-33.9755
mp-1011399;-112.256
