material_id;spacegroup
mp-1000217;P2_1/c
mp-1000500;P-6m2
mp-1000517;I4/mmm
mp-1000691;P-62m
mp-1001530;I4/mmm
mp-1001696;I4/mmm
mp-1002183;Pm-3m
mp-1002184;F-43m
mp-1002187;Fm-3m
mp-1002188;P-6m2
mp-1002194;Pm-3m
mp-1002195;F-43m
mp-1002199;Pm-3m
mp-1002201;F-43m
mp-1002204;P-6m2
mp-1002205;Fm-3m
mp-1002212;F-43m
mp-1002214;Pm-3m
mp-1002215;P-6m2
mp-1002218;Fm-3m
mp-1002225;P-6m2
mp-1002231;Fm-3m
mp-1003061;P6_3/mmc
mp-1004656;P6_3/mmc
mp-1005343;Pmma
mp-1005370;Pmma
mp-1006366;P6/mmm
mp-1006973;P-6m2
mp-1006991;I4/mmm
mp-1007150;P-62m
mp-1008033;I4/mmm
mp-1008143;I4/mmm
mp-1010315;P6_3/mmc
mp-1010825;Pmma
mp-1011681;P-6m2
mp-1011715;I4/mmm
mp-1011886;P-62m
mp-1012359;I4/mmm
mp-1012461;I4/mmm
mp-1018224;P4/nmm
mp-1018411;P4/nmm
mp-1051901;P6_3/mmc
mp-1051920;P6_3/mmc
mp-1051925;P6_3/mmc
mp-1057283;Pm-3m
mp-1057291;Pm-3m
mp-1057305;Pm-3m
mp-1057314;Pm-3m
mp-1058498;Fm-3m
mp-1058510;Fm-3m
mp-1058525;Fm-3m
mp-1058529;Fm-3m
mp-1059996;P-6m2
mp-1060031;P-6m2
mp-1060053;P-6m2
mp-1060080;P-6m2
mp-1061051;F-43m
mp-1061074;F-43m
mp-1061105;F-43m
mp-1061121;F-43m
mp-1064469;Amm2
mp-1064504;Amm2
mp-1064525;Amm2
mp-1064561;Amm2
mp-1066433;P6_3/mmc
mp-1066444;P6_3/mmc
mp-1066462;P6_3/mmc
mp-1066469;P6_3/mmc
mp-1067395;P6_3/mmc
mp-1067421;P6_3/mmc
mp-1067440;P6_3/mmc
mp-1067450;P6_3/mmc
mp-1067451;P6_3mc
mp-1067574;P6_3mc
mp-1067704;P6_3mc
mp-1067842;P6_3mc
mp-1068632;I4/mmm
mp-1068701;I4/mmm
mp-1068790;I4/mmm
mp-1068806;I4/mmm
mp-1068822;I4/mmm
mp-1068878;I4/mmm
mp-1068947;I4/mmm
mp-1068960;R-3m
mp-1068970;I4/mmm
mp-1068982;R-3m
mp-1069013;R-3m
mp-1069018;R-3m
mp-1069440;R-3m
mp-1069448;R-3m
mp-1069458;R-3m
mp-1069459;R-3m
mp-1069462;I4/mmm
mp-1069512;I4/mmm
mp-1069527;I4/mmm
mp-1069563;I4/mmm
mp-1069565;I4/mmm
mp-1069606;I4/mmm
