material_id;formula_pretty
mp-1000217;Sr2LiSc(B2O5)2
mp-1000500;BaAlGe
mp-1000517;Tm(CuGe)2
mp-1000691;Fe2P
mp-1001530;Er(NiP)2
mp-1001696;Tm(CuGe)2
mp-1002183;TcB
mp-1002184;TcB
mp-1002187;TcB
mp-1002188;TcB
mp-1002194;TcB
mp-1002195;TcB
mp-1002199;TcB
mp-1002201;TcB
mp-1002204;TcB
mp-1002205;TcB
mp-1002212;TcB
mp-1002214;TcB
mp-1002215;TcB
mp-1002218;TcB
mp-1002225;TcB
mp-1002231;TcB
mp-1003061;DyAl3
mp-1004656;DyAl3
mp-1005343;MgCu
mp-1005370;MgCu
mp-1006366;Ce2Si3Rh
mp-1006973;BaAlGe
mp-1006991;Tm(CuGe)2
mp-1007150;Fe2P
mp-1008033;Er(NiP)2
mp-1008143;Tm(CuGe)2
mp-1010315;DyAl3
mp-1010825;MgCu
mp-1011681;BaAlGe
mp-1011715;Tm(CuGe)2
mp-1011886;Fe2P
mp-1012359;Er(NiP)2
mp-1012461;Tm(CuGe)2
mp-1018224;LaN
mp-1018411;LaN
mp-1051901;DyAl3
mp-1051920;DyAl3
mp-1051925;DyAl3
mp-1057283;TcB
mp-1057291;TcB
mp-1057305;TcB
mp-1057314;TcB
mp-1058498;TcB
mp-1058510;TcB
mp-1058525;TcB
mp-1058529;TcB
mp-1059996;TcB
mp-1060031;TcB
mp-1060053;TcB
mp-1060080;TcB
mp-1061051;TcB
mp-1061074;TcB
mp-1061105;TcB
mp-1061121;TcB
mp-1064469;YbNiC2
mp-1064504;YbNiC2
mp-1064525;YbNiC2
mp-1064561;YbNiC2
mp-1066433;TcB
mp-1066444;TcB
mp-1066462;TcB
mp-1066469;TcB
mp-1067395;TcB
mp-1067421;TcB
mp-1067440;TcB
mp-1067450;TcB
mp-1067451;TcB
mp-1067574;TcB
mp-1067704;TcB
mp-1067842;TcB
mp-1068632;Tm(CuGe)2
mp-1068701;Tm(CuGe)2
mp-1068790;Tm(CuGe)2
mp-1068806;Tm(CuGe)2
mp-1068822;Tm(CuGe)2
mp-1068878;Tm(CuGe)2
mp-1068947;Tm(CuGe)2
mp-1068960;Bi2Se3
mp-1068970;Tm(CuGe)2
mp-1068982;Bi2Se3
mp-1069013;Bi2Se3
mp-1069018;Bi2Se3
mp-1069440;Bi2Se3
mp-1069448;Bi2Se3
mp-1069458;Bi2Se3
mp-1069459;Bi2Se3
mp-1069462;Yb(MnSi)2
mp-1069512;Yb(MnSi)2
mp-1069527;Yb(MnSi)2
mp-1069563;Yb(MnSi)2
mp-1069565;Yb(MnSi)2
mp-1069606;Yb(MnSi)2
mp-1069621;Yb(MnSi)2
mp-1069629;Yb(MnSi)2
mp-1069657;Yb(MnSi)2
mp-1069686;Yb(MnSi)2
mp-1069731;Yb(MnSi)2
mp-1069757;Yb(MnSi)2
mp-1070237;Tm(CuGe)2
mp-1070282;Tm(CuGe)2
mp-1070324;Tm(CuGe)2
mp-1070362;Tm(CuGe)2
mp-1070408;Gd(SiIr)2
mp-1070470;Yb(MnSi)2
mp-1070522;Yb(MnSi)2
mp-1070577;Yb(MnSi)2
mp-1070583;ErAu4
mp-1070593;Gd(SiIr)2
mp-1070619;Yb(MnSi)2
mp-1070674;Gd(SiIr)2
mp-1070677;ErAu4
mp-1070712;Gd(SiIr)2
mp-1070717;ErAu4
mp-1070734;Bi2Se3
mp-1070756;Bi2Se3
mp-1070768;ErAu4
mp-1070776;Bi2Se3
mp-1070785;Bi2Se3
mp-1070842;LaPIr
mp-1070877;LaPIr
mp-1070942;LaPIr
mp-1070947;LaPIr
mp-1077777;Pr2Bi
mp-1078094;Mn(GaS2)2
mp-1078110;Mn(GaS2)2
mp-1078485;UPt3
mp-1079639;UPt3
mp-1079868;CeAlCu
mp-1092253;UPt3
mp-1095525;NdNiSn
mp-1101956;ZrCuSi
mp-1102075;TbH2ClO2
mp-1103088;DyAl3
mp-1103949;Cs2LiI3
mp-1106237;DyAl3
mp-1114969;CsIO3
mp-1115081;Mn(GaS2)2
mp-1115375;Rb3NbO8
mp-1115395;TcB
mp-1115706;LiYGa4
mp-1115786;BaAlGe
mp-1116021;SmInRh
mp-1121422;ZrCuSi
mp-1122042;Sr2NCl
mp-1124804;Sc2AlC
mp-1124947;Yb(MnSi)2
mp-1125186;U6Fe16Si7
mp-1126411;Li2CeSb2
mp-1126574;CsIO3
mp-1127229;YClO
mp-1127261;DyAl3
mp-1127337;YClO
mp-1127643;Tm(CuGe)2
mp-1128069;Rb3NbO8
mp-1128435;Li3UO4
mp-1128688;PrB2Ir3
mp-1129842;UReB3
mp-1130155;DyAl3
mp-1130205;TlP(HO2)2
mp-1130281;TlP(HO2)2
mp-1131932;LaPIr
mp-1132749;Yb(MnSi)2
mp-1133340;Gd(SiIr)2
mp-1135635;Fe2P
mp-1135693;Er(NiP)2
mp-1136368;U6Fe16Si7
mp-1136389;Nb3Ir
mp-1136493;Na4IrO4
mp-1136732;Sr2VO4
mp-1136903;SnSe2
mp-1136937;SrCuF4
mp-1139951;CuAuSe4
mp-1140062;BaPdS2
mp-1140668;SnSe2
mp-1140687;TlP(HO2)2
mp-1140886;PtS
mp-1141117;YClO
mp-1141296;Na4IrO4
mp-1141517;Bi2Se3
mp-1141782;Sr2NCl
mp-11422;GdHg
mp-1142301;Bi2Se3
mp-1142729;Sb2(SO4)3
mp-1143390;TcB
mp-1143925;Bi2Se3
mp-1144400;B5H9N
mp-1144407;ZrCuSi
mp-11483;TmIr
mp-1149410;Yb3SnC
mp-1149426;DyAl3
mp-11501;MnNi3
mp-1150351;NaAg3O2
mp-1150821;LiYGa4
mp-1150839;BaAlGe
mp-1151080;NdNiSn
mp-1152929;Yb(MnSi)2
mp-1153988;Mn(GaS2)2
mp-1156942;K3Ni2F7
mp-1157954;Sr2LiSc(B2O5)2
mp-1159363;TcB
mp-11594;PrB2Ir3
mp-1159573;Rh3F
mp-1159602;Mn(GaS2)2
mp-1160814;TcB
mp-1160881;MgCu
mp-1161454;TlP(HO2)2
mp-1161468;Mn(GaS2)2
mp-1162708;PtS
mp-1162985;PtS
mp-1163178;Sb2(SO4)3
mp-1163593;Sr2VO4
mp-1163639;Sb2(SO4)3
mp-1164488;Tm(CuGe)2
mp-1164932;GdHg
mp-1164954;TcB
mp-1164955;TiRu
mp-1165068;TmIr
mp-1165179;TcB
mp-1165207;TcB
mp-1165733;Ba2S3
mp-1165985;Li7P3S11
mp-1166045;LuTiGe
mp-1167195;BaPdS2
mp-1167517;EuZn5
mp-1168157;CsIO3
mp-1169558;Sb2(SO4)3
mp-1169621;Sb2(SO4)3
mp-1170147;Sr(GaAu)2
mp-1170763;Ce2Si3Rh
mp-1171233;H4C(N2O)2
mp-1171575;Gd(SiIr)2
mp-1172005;MnNi3
mp-11743;LiYGa4
mp-1181285;Mn(GaS2)2
mp-1181584;H4C(N2O)2
mp-1182583;Bi2Se3
mp-1185410;LiRe3
mp-1185859;MgCu
mp-1186271;NaMg149
mp-1188642;DyAl3
mp-1189340;Fe2P
mp-1191035;Ce2Si3Rh
mp-1196113;TlP(HO2)2
mp-1196833;Sr2VO4
mp-1197174;H4C(N2O)2
mp-1197814;Mn(GaS2)2
mp-1198150;Bi2Se3
mp-1201065;Li15H9N8
mp-1203133;TlP(HO2)2
mp-1204989;H4C(N2O)2
mp-1205321;PtS
mp-1216736;TlP(HO2)2
mp-1221975;Mn(GaS2)2
mp-12265;SrCuF4
mp-1226850;Ce3Sn
mp-1230498;ZrCuSi
mp-1230698;DyAl3
mp-1230762;Cs2LiI3
mp-1231296;CuAuSe4
mp-1232297;BaPdS2
mp-1237143;Mn(GaS2)2
mp-1237221;Bi2Se3
mp-1237534;Sr2VO4
mp-1239745;TlP(HO2)2
mp-1239912;BaAlGe
mp-1240448;TcB
mp-1240549;DyAl3
mp-1240632;TcB
mp-1241435;Sb2(SO4)3
mp-1242371;TcB
mp-1242497;Sb2(SO4)3
mp-1242792;TcB
mp-1243095;PtS
mp-1243177;TiRu
mp-1243249;Bi2Se3
mp-1248793;CeAlCu
mp-1249069;Ce2Si3Rh
mp-1249955;Ce2Si3Rh
mp-1252832;DyAl3
mp-1253282;Sc2AlC
mp-1253380;DyAl3
mp-1253944;Ce2Si3Rh
mp-1257315;Sc2AlC
mp-1257574;Yb(MnSi)2
mp-1258160;ZrCuSi
mp-1258282;DyAl3
mp-1258423;Yb(MnSi)2
mp-1258485;Yb(MnSi)2
mp-1258971;BaAlGe
mp-1259078;BaAlGe
mp-1260453;DyAl3
mp-1260568;ZrCuSi
mp-1260898;DyAl3
mp-1261378;DyAl3
mp-1262105;Sc2AlC
mp-1262134;DyAl3
mp-1263063;DyAl3
mp-1263090;BaAlGe
mp-1263208;CeAlCu
mp-1263233;DyAl3
mp-1263347;Ce2Si3Rh
mp-1264161;Ce2Si3Rh
mp-1264673;Ce2Si3Rh
mp-1264832;CeAlCu
mp-1266702;DyAl3
