material_id;band_gap
mp-1000217;4.626
mp-1000409;0
mp-1000490;0
mp-1000500;0
mp-1000517;0
mp-1000597;0
mp-1000691;0
mp-1000815;0
mp-1001155;0
mp-1001175;0
mp-1001498;0
mp-1001530;0
mp-1001696;0
mp-1001704;0
mp-1001705;0
mp-1001928;0
mp-1002013;0
mp-1002183;0
mp-1002184;0
mp-1002187;0
mp-1002188;0
mp-1002194;0
mp-1002195;0
mp-1002199;0
mp-1002201;0
mp-1002204;0
mp-1002205;0
mp-1002212;0
mp-1002214;0
mp-1002215;0
mp-1002218;0
mp-1002225;0
mp-1002231;0
mp-1002323;0
mp-1003061;0
mp-10038;0.0598
mp-10039;0.0339
mp-1003938;0
mp-1004656;0
mp-1005224;0
mp-1005234;0
mp-1005320;0
mp-1005343;0
mp-1005370;0
mp-1006366;0
mp-10064;2.1374
mp-1006563;5.6055
mp-1006901;0
mp-1006958;0
mp-1006973;0
mp-1006991;0
mp-1007070;0
mp-1007150;0
mp-1007266;0
mp-1007530;0
mp-1007550;0
mp-1008018;0
mp-1008033;0
mp-1008137;0
mp-1008141;0
mp-1008143;0
mp-1008264;0
mp-1008387;0
mp-1008487;0
mp-1008515;0
mp-1008565;0
mp-1008569;0
mp-1008661;0
mp-1008673;0
mp-1008674;0
mp-1008684;0
mp-1008685;0
mp-1008687;0
mp-1008691;0
mp-1008699;0
mp-1010315;0
mp-1010785;0
mp-1010825;0
mp-1011371;5.6055
mp-10115;0
mp-1011612;0
mp-1011681;0
mp-1011691;0
mp-1011715;0
mp-1011805;0
mp-1011886;0
mp-1012020;0
mp-1012292;0
mp-1012308;0
mp-1012354;0
mp-1012359;0
mp-1012458;0
mp-1012461;0
mp-1012462;0
mp-1012577;0
mp-1012674;0
mp-10172;0.1099
mp-1017696;0.8792
mp-1017849;0.8731
mp-1018049;1.8612
mp-1018121;0
mp-1018148;0
mp-1018224;1.8624
mp-1018286;0
mp-1018346;0
mp-1018411;1.7319
mp-1018423;0
mp-1018454;0
mp-1018522;0
mp-1018583;0
mp-1018593;1.7319
mp-1018640;0
mp-1018690;0
mp-1018694;0
mp-1018698;0
mp-1018833;0
mp-1018888;0.7863
mp-1018891;0.7092
mp-1018904;0
mp-1018933;0
mp-1018934;0
mp-1018943;0
mp-1019060;0
mp-1019130;0
mp-1019131;0
mp-1019144;0
mp-1019240;0.7561
mp-1019242;0.7094
mp-1019301;0
mp-1019331;0
mp-1019362;0
mp-1019382;0
mp-1019452;0.8453
mp-1019476;0.6979
mp-1019650;0.9724
mp-1019651;0.7862
mp-1019698;0
mp-1019833;0
mp-1019989;0
mp-1021503;5.0576
mp-1023376;4.8428
mp-10426;1.968
mp-1045083;0
mp-1045102;0
mp-1045138;0.4561
mp-1045145;0
mp-1045282;0.3079
mp-10464;7.7719
mp-1048932;0
mp-1048936;0
mp-1048940;0
mp-1049051;0.3085
mp-1049058;0.2476
mp-1049059;0.2582
mp-1051901;0
mp-1051920;0
mp-1051925;0
mp-1056956;0.03
mp-1056964;0.0347
mp-1056979;0
mp-1056981;0
mp-1057066;0.03
mp-1057078;0.0347
mp-1057104;0
mp-1057107;0
mp-1057283;0
mp-1057291;0
mp-1057305;0
mp-1057314;0
mp-1057421;0.03
mp-1057432;0.0347
mp-1057444;0
mp-1057448;0
mp-1057774;0.03
mp-1057783;0.0347
mp-1057805;0
mp-1057807;0
mp-1057895;0.03
mp-1057903;0.0347
mp-1057929;0
mp-1057931;0
mp-1058250;0.03
mp-1058260;0.0347
mp-1058276;0
mp-1058277;0
mp-1058408;0.0301
mp-1058423;0.0349
mp-1058437;0
mp-1058443;0
mp-1058498;0
mp-1058510;0
mp-1058525;0
mp-1058529;0
