material_id;band_gap
mp-1000217;4.626
mp-1000500;0
mp-1000517;0
mp-1000691;0
mp-1000815;0
mp-1001155;0
mp-1001498;0
mp-1001530;0
mp-1001696;0
mp-1001928;0
mp-1002183;0
mp-1002184;0
mp-1002187;0
mp-1002188;0
mp-1002194;0
mp-1002195;0
mp-1002199;0
mp-1002201;0
mp-1002204;0
mp-1002205;0
mp-1002212;0
mp-1002214;0
mp-1002215;0
mp-1002218;0
mp-1002225;0
mp-1002231;0
mp-1003061;0
mp-10039;0.0339
mp-1004656;0
mp-1005343;0
mp-1005370;0
mp-1006366;0
mp-10064;2.1374
mp-1006563;5.6055
mp-1006973;0
mp-1006991;0
mp-1007150;0
mp-1007266;0
mp-1007530;0
mp-1008018;0
mp-1008033;0
mp-1008143;0
mp-1008264;0
mp-1010315;0
mp-1010825;0
mp-1011371;5.6055
mp-10115;0
mp-1011681;0
mp-1011715;0
mp-1011886;0
mp-1012020;0
mp-1012292;0
mp-1012354;0
mp-1012359;0
mp-1012461;0
mp-1012577;0
mp-1018049;1.8612
mp-1018148;0
mp-1018224;1.8624
mp-1018346;0
mp-1018411;1.7319
mp-1018454;0
mp-1018522;0
mp-1018593;1.7319
mp-1018698;0
mp-1018943;0
mp-1019144;0
mp-1019382;0
mp-1021503;5.0576
mp-1023376;4.8428
mp-10426;1.968
mp-1045083;0
mp-1045102;0
mp-1045138;0.4561
mp-1045145;0
mp-1045282;0.3079
mp-10464;7.7719
mp-1051901;0
mp-1051920;0
mp-1051925;0
mp-1056956;0.03
mp-1056964;0.0347
mp-1056979;0
mp-1056981;0
mp-1057066;0.03
mp-1057078;0.0347
mp-1057104;0
mp-1057107;0
mp-1057283;0
mp-1057291;0
mp-1057305;0
mp-1057314;0
mp-1057421;0.03
mp-1057432;0.0347
mp-1057444;0
mp-1057448;0
mp-1057774;0.03
mp-1057783;0.0347
mp-1057805;0
mp-1057807;0
mp-1057895;0.03
mp-1057903;0.0347
mp-1057929;0
mp-1057931;0
mp-1058250;0.03
mp-1058260;0.0347
mp-1058276;0
mp-1058277;0
mp-1058408;0.0301
mp-1058423;0.0349
mp-1058437;0
mp-1058443;0
mp-1058498;0
mp-1058510;0
mp-1058525;0
mp-1058529;0
mp-1058573;0.03
mp-1058582;0.0347
mp-1058593;0.03
mp-1058600;0.0347
mp-1058605;0
mp-1058608;0
mp-1058619;0
mp-1058621;0
mp-1058676;0.03
mp-1058685;0.0347
mp-1058708;0
mp-1058709;0
mp-1058827;0.03
mp-1058841;0.0347
mp-1058861;0
mp-1058865;0
mp-1059047;0.03
mp-1059054;0.0347
mp-1059069;0
mp-1059073;0
mp-1059154;0.03
mp-1059169;0.0347
mp-1059190;0
mp-1059194;0
mp-1059238;0.03
mp-1059247;0.0347
mp-1059266;0
mp-1059268;0
mp-1059347;0.03
mp-1059358;0.0347
mp-1059379;0
mp-1059380;0
mp-1059562;0.03
mp-1059573;0.0347
mp-1059605;0
mp-1059607;0
mp-1059782;0.0301
mp-1059797;0.0349
mp-1059826;0
mp-1059832;0
mp-1059996;0
mp-1060025;0.03
mp-1060031;0
mp-1060034;0.0347
mp-1060053;0
mp-1060061;0
mp-1060062;0
mp-1060065;0.03
mp-1060078;0.0347
mp-1060080;0
mp-1060087;0
mp-1060094;0.03
mp-1060103;0
mp-1060109;0.0347
mp-1060111;0
mp-1060116;0
mp-1060129;0
mp-1060133;0
mp-1060138;0
mp-1060146;0
mp-1060164;0.03
mp-1060186;0.0347
mp-1060215;0
mp-1060218;0
mp-1060313;0.03
mp-1060326;0.0347
mp-1060329;0.03
mp-1060342;0.0347
