material_id;spacegroup
mp-1000217;P2_1/c
mp-1000500;P-6m2
mp-1000517;I4/mmm
mp-1000691;P-62m
mp-1001498;R-3
mp-1001530;I4/mmm
mp-1001696;I4/mmm
mp-1001928;I4/mmm
mp-1002183;Pm-3m
mp-1002184;F-43m
mp-1002187;Fm-3m
mp-1002188;P-6m2
mp-1002194;Pm-3m
mp-1002195;F-43m
mp-1002199;Pm-3m
mp-1002201;F-43m
mp-1002204;P-6m2
mp-1002205;Fm-3m
mp-1002212;F-43m
mp-1002214;Pm-3m
mp-1002215;P-6m2
mp-1002218;Fm-3m
mp-1002225;P-6m2
mp-1002231;Fm-3m
mp-1003061;P6_3/mmc
mp-10039;Pm-3m
mp-1004656;P6_3/mmc
mp-1005343;Pmma
mp-1005370;Pmma
mp-1006366;P6/mmm
mp-1006973;P-6m2
mp-1006991;I4/mmm
mp-1007150;P-62m
mp-1008018;R-3
mp-1008033;I4/mmm
mp-1008143;I4/mmm
mp-1008264;I4/mmm
mp-1010315;P6_3/mmc
mp-1010825;Pmma
mp-1011681;P-6m2
mp-1011715;I4/mmm
mp-1011886;P-62m
mp-1012354;R-3
mp-1012359;I4/mmm
mp-1012461;I4/mmm
mp-1012577;I4/mmm
mp-1018049;P4/nmm
mp-1018148;I4/mmm
mp-1018224;P4/nmm
mp-1018346;I4/mmm
mp-1018411;P4/nmm
mp-1018454;I4/mmm
mp-1018522;I4/mmm
mp-1018593;P4/nmm
mp-1018698;P6_3mc
mp-1018943;P6_3mc
mp-1019144;P6_3mc
mp-1019382;P6_3mc
mp-10426;C2
mp-1045083;C2/c
mp-1045102;C2/c
mp-1045138;P2_1/c
mp-1045145;C2/c
mp-1045282;P2_1/c
mp-10464;Pnma
mp-1051901;P6_3/mmc
mp-1051920;P6_3/mmc
mp-1051925;P6_3/mmc
mp-1056956;Fm-3m
mp-1056964;Fm-3m
mp-1056979;Fm-3m
mp-1056981;Fm-3m
mp-1057066;Fm-3m
mp-1057078;Fm-3m
mp-1057104;Fm-3m
mp-1057107;Fm-3m
mp-1057283;Pm-3m
mp-1057291;Pm-3m
mp-1057305;Pm-3m
mp-1057314;Pm-3m
mp-1057421;Fm-3m
mp-1057432;Fm-3m
mp-1057444;Fm-3m
mp-1057448;Fm-3m
mp-1057774;Fm-3m
mp-1057783;Fm-3m
mp-1057805;Fm-3m
mp-1057807;Fm-3m
mp-1057895;Fm-3m
mp-1057903;Fm-3m
mp-1057929;Fm-3m
mp-1057931;Fm-3m
mp-1058250;Fm-3m
mp-1058260;Fm-3m
mp-1058276;Fm-3m
mp-1058277;Fm-3m
mp-1058408;Fm-3m
mp-1058423;Fm-3m
