material_id;energy
mp-1000217;-552.581
mp-1000500;-11.7012
mp-1000517;-24.2128
mp-1000691;-71.1087
mp-1001498;-30.6554
mp-1001530;-31.9835
mp-1001696;-23.4766
mp-1001928;-35.5319
mp-1002183;-16.7562
mp-1002184;-15.6019
mp-1002187;-17.057
mp-1002188;-17.6047
mp-1002194;-16.7486
mp-1002195;-15.6024
mp-1002199;-16.7465
mp-1002201;-15.608
mp-1002204;-17.6042
mp-1002205;-17.054
mp-1002212;-15.3521
mp-1002214;-16.9667
mp-1002215;-17.6048
mp-1002218;-17.0549
mp-1002225;-17.127
mp-1002231;-15.9653
mp-1003061;-35.1216
mp-10039;-28.0469
mp-1004656;-35.1265
mp-1005343;-11.76
mp-1005370;-11.7601
mp-1006366;-81.7037
mp-1006973;-11.7026
mp-1006991;-24.2125
mp-1007150;-71.0446
mp-1008018;-30.743
mp-1008033;-31.9871
mp-1008143;-23.4794
mp-1008264;-35.5441
mp-1010315;-35.226
mp-1010825;-11.8381
mp-1011681;-10.848
mp-1011715;-23.8674
mp-1011886;-71.1887
mp-1012354;-30.6931
mp-1012359;-31.6573
mp-1012461;-24.0894
mp-1012577;-34.9746
mp-1018049;-31.3609
mp-1018148;-15.3283
mp-1018224;-31.3623
mp-1018346;-15.326
mp-1018411;-31.3648
mp-1018454;-15.3312
mp-1018522;-15.293
mp-1018593;-31.2054
mp-1018698;-31.33
mp-1018943;-31.3197
mp-1019144;-31.3297
mp-1019382;-30.4109
mp-10426;-60.3439
mp-1045083;-124.621
mp-1045102;-124.654
mp-1045138;-249.657
mp-1045145;-124.605
mp-1045282;-249.581
mp-10464;-69.6828
mp-1051901;-35.0927
mp-1051920;-35.0868
mp-1051925;-35.2267
mp-1056956;-15.8854
mp-1056964;-15.887
mp-1056979;-14.946
mp-1056981;-15.8878
mp-1057066;-15.8854
mp-1057078;-15.887
mp-1057104;-14.946
mp-1057107;-15.8878
mp-1057283;-16.7405
mp-1057291;-16.7512
mp-1057305;-16.9569
mp-1057314;-16.7476
mp-1057421;-15.8854
mp-1057432;-15.887
mp-1057444;-14.946
mp-1057448;-15.8878
mp-1057774;-15.8854
mp-1057783;-15.887
mp-1057805;-14.946
mp-1057807;-15.8878
mp-1057895;-15.8854
mp-1057903;-15.887
mp-1057929;-15.8878
mp-1057931;-14.946
mp-1058250;-15.8854
mp-1058260;-15.887
mp-1058276;-15.8878
mp-1058277;-14.946
mp-1058408;-15.8854
mp-1058423;-15.887
mp-1058437;-14.946
mp-1058443;-15.8878
mp-1058498;-17.0618
mp-1058510;-17.0545
mp-1058525;-16.0161
mp-1058529;-17.0541
mp-1058573;-15.8854
mp-1058582;-15.887
mp-1058593;-15.8854
mp-1058600;-15.887
mp-1058605;-15.8878
mp-1058608;-14.946
mp-1058619;-14.946
mp-1058621;-15.8878
mp-1058676;-15.8854
mp-1058685;-15.887
mp-1058708;-14.946
mp-1058709;-15.8878
mp-1058827;-15.8854
mp-1058841;-15.887
mp-1058861;-15.8878
mp-1058865;-14.946
mp-1059047;-15.8854
mp-1059054;-15.887
mp-1059069;-14.946
mp-1059073;-15.8878
mp-1059154;-15.8854
mp-1059169;-15.887
mp-1059190;-14.946
mp-1059194;-15.8878
mp-1059238;-15.8854
mp-1059247;-15.887
mp-1059266;-14.946
mp-1059268;-15.8878
mp-1059347;-15.8854
mp-1059358;-15.887
mp-1059379;-14.946
mp-1059380;-15.8878
mp-1059562;-15.8854
mp-1059573;-15.887
mp-1059605;-14.946
mp-1059607;-15.8878
mp-1059782;-15.8854
mp-1059797;-15.887
mp-1059826;-14.946
mp-1059832;-15.8878
mp-1059996;-17.6053
mp-1060025;-15.8854
mp-1060031;-17.6037
mp-1060034;-15.887
mp-1060053;-17.1281
mp-1060061;-15.8878
mp-1060062;-14.946
mp-1060065;-15.8854
mp-1060078;-15.887
mp-1060080;-17.6049
mp-1060087;-14.7231
mp-1060094;-15.8854
mp-1060103;-14.724
mp-1060109;-15.887
mp-1060111;-14.946
mp-1060116;-15.8878
mp-1060129;-15.5201
mp-1060133;-14.725
mp-1060138;-14.946
mp-1060146;-15.8878
mp-1060164;-15.8854
mp-1060186;-15.887
mp-1060215;-14.946
mp-1060218;-15.8878
mp-1060313;-15.8854
mp-1060326;-15.887
mp-1060329;-15.8854
mp-1060342;-15.887
mp-1060361;-14.946
mp-1060368;-15.8878
mp-1060377;-14.946
mp-1060381;-15.8878
mp-1060390;-15.8854
