material_id;formula_pretty
mp-1000217;Sr2LiSc(B2O5)2
mp-1000500;BaAlGe
mp-1000517;Tm(CuGe)2
mp-1000691;Fe2P
mp-1000815;ThB2Ir3
mp-1001155;Te2Rh
mp-1001498;HgRhF6
mp-1001530;Er(NiP)2
mp-1001696;Tm(CuGe)2
mp-1001928;Er(GeRu)2
mp-1002183;TcB
mp-1002184;TcB
mp-1002187;TcB
mp-1002188;TcB
mp-1002194;TcB
mp-1002195;TcB
mp-1002199;TcB
mp-1002201;TcB
mp-1002204;TcB
mp-1002205;TcB
mp-1002212;TcB
mp-1002214;TcB
mp-1002215;TcB
mp-1002218;TcB
mp-1002225;TcB
mp-1002231;TcB
mp-1003061;DyAl3
mp-10039;Pr3AlC
mp-1004656;DyAl3
mp-1005343;MgCu
mp-1005370;MgCu
mp-1006366;Ce2Si3Rh
mp-10064;SiO2
mp-1006563;SiO2
mp-1006973;BaAlGe
mp-1006991;Tm(CuGe)2
mp-1007150;Fe2P
mp-1007266;ThB2Ir3
mp-1007530;Te2Rh
mp-1008018;HgRhF6
mp-1008033;Er(NiP)2
mp-1008143;Tm(CuGe)2
mp-1008264;Er(GeRu)2
mp-1010315;DyAl3
mp-1010825;MgCu
mp-1011371;SiO2
mp-10115;ThB2Ir3
mp-1011681;BaAlGe
mp-1011715;Tm(CuGe)2
mp-1011886;Fe2P
mp-1012020;ThB2Ir3
mp-1012292;Te2Rh
mp-1012354;HgRhF6
mp-1012359;Er(NiP)2
mp-1012461;Tm(CuGe)2
mp-1012577;Er(GeRu)2
mp-1018049;LaN
mp-1018148;ScAu2
mp-1018224;LaN
mp-1018346;ScAu2
mp-1018411;LaN
mp-1018454;ScAu2
mp-1018522;ScAu2
mp-1018593;LaN
mp-1018698;EuHgPb
mp-1018943;EuHgPb
mp-1019144;EuHgPb
mp-1019382;EuHgPb
mp-1021503;SiO2
mp-1023376;SiO2
mp-10426;Nb2O5
mp-1045083;CaCu(GeO3)2
mp-1045102;CaCu(GeO3)2
mp-1045138;CaCu(GeO3)2
mp-1045145;CaCu(GeO3)2
mp-1045282;CaCu(GeO3)2
mp-10464;CaF2
mp-1051901;DyAl3
mp-1051920;DyAl3
mp-1051925;DyAl3
mp-1056956;LaN
mp-1056964;LaN
mp-1056979;LaN
mp-1056981;LaN
mp-1057066;LaN
mp-1057078;LaN
mp-1057104;LaN
mp-1057107;LaN
mp-1057283;TcB
mp-1057291;TcB
mp-1057305;TcB
mp-1057314;TcB
mp-1057421;LaN
mp-1057432;LaN
mp-1057444;LaN
mp-1057448;LaN
mp-1057774;LaN
mp-1057783;LaN
mp-1057805;LaN
mp-1057807;LaN
mp-1057895;LaN
mp-1057903;LaN
mp-1057929;LaN
mp-1057931;LaN
mp-1058250;LaN
mp-1058260;LaN
mp-1058276;LaN
mp-1058277;LaN
mp-1058408;LaN
mp-1058423;LaN
mp-1058437;LaN
mp-1058443;LaN
mp-1058498;TcB
mp-1058510;TcB
mp-1058525;TcB
mp-1058529;TcB
mp-1058573;LaN
mp-1058582;LaN
mp-1058593;LaN
mp-1058600;LaN
mp-1058605;LaN
mp-1058608;LaN
mp-1058619;LaN
mp-1058621;LaN
mp-1058676;LaN
mp-1058685;LaN
mp-1058708;LaN
mp-1058709;LaN
mp-1058827;LaN
mp-1058841;LaN
mp-1058861;LaN
mp-1058865;LaN
mp-1059047;LaN
mp-1059054;LaN
mp-1059069;LaN
mp-1059073;LaN
mp-1059154;LaN
mp-1059169;LaN
mp-1059190;LaN
mp-1059194;LaN
mp-1059238;LaN
mp-1059247;LaN
mp-1059266;LaN
mp-1059268;LaN
mp-1059347;LaN
mp-1059358;LaN
mp-1059379;LaN
mp-1059380;LaN
mp-1059562;LaN
mp-1059573;LaN
mp-1059605;LaN
mp-1059607;LaN
mp-1059782;LaN
mp-1059797;LaN
mp-1059826;LaN
mp-1059832;LaN
mp-1059996;TcB
mp-1060025;LaN
mp-1060031;TcB
mp-1060034;LaN
mp-1060053;TcB
mp-1060061;LaN
mp-1060062;LaN
mp-1060065;LaN
mp-1060078;LaN
mp-1060080;TcB
mp-1060087;LaN
mp-1060094;LaN
mp-1060103;LaN
mp-1060109;LaN
mp-1060111;LaN
mp-1060116;LaN
mp-1060129;LaN
mp-1060133;LaN
mp-1060138;LaN
mp-1060146;LaN
mp-1060164;LaN
mp-1060186;LaN
mp-1060215;LaN
mp-1060218;LaN
mp-1060313;LaN
mp-1060326;LaN
mp-1060329;LaN
mp-1060342;LaN
mp-1060361;LaN
mp-1060368;LaN
mp-1060377;LaN
mp-1060381;LaN
mp-1060390;LaN
mp-1060405;LaN
mp-1060442;LaN
mp-1060444;LaN
mp-1060975;LaN
mp-1060987;LaN
mp-1061033;LaN
mp-1061037;LaN
mp-1061043;LaN
mp-1061051;TcB
mp-1061066;LaN
mp-1061074;TcB
mp-1061104;LaN
mp-1061105;TcB
mp-1061112;LaN
mp-1061121;TcB
mp-1061194;LaN
mp-1061215;LaN
mp-1061242;LaN
mp-1061253;LaN
mp-1061260;LaN
mp-1061261;LaN
mp-1061292;LaN
mp-1061296;LaN
mp-1061377;LaN
mp-1061393;LaN
mp-1061431;LaN
mp-1061433;LaN
mp-1062755;CaF2
mp-1062773;CaF2
mp-1062785;CaF2
mp-1062786;CaF2
mp-1063322;ThO2
mp-1063329;ThO2
mp-1063346;ThO2
mp-1063347;ThO2
mp-1063532;ScAu2
mp-1063568;ScAu2
mp-1063600;ScAu2
mp-1063625;ScAu2
mp-1064406;LaN
mp-1064412;LaN
mp-1064428;LaN
mp-1064442;LaN
mp-1064469;YbNiC2
mp-1064504;YbNiC2
mp-1064525;YbNiC2
mp-1064561;YbNiC2
mp-1064902;LaN
mp-1064912;LaN
mp-1064926;LaN
mp-1064938;LaN
mp-1066433;TcB
mp-1066444;TcB
mp-1066462;TcB
mp-1066469;TcB
mp-1066882;TbAu
mp-1066920;TbAu
mp-1066966;TbAu
mp-1067;LiAl
mp-1067012;TbAu
mp-1067024;TiAl3
mp-1067060;TiAl3
mp-1067079;TiAl3
mp-1067091;TiAl3
mp-1067383;TiAl3
mp-1067391;TiAl3
mp-1067395;TcB
mp-1067402;TiAl3
mp-1067406;TiAl3
mp-1067421;TcB
mp-1067440;TcB
mp-1067443;TiAl3
mp-1067450;TcB
mp-1067451;TcB
mp-1067478;TiAl3
mp-1067495;TiAl3
mp-1067507;TiAl3
mp-1067574;TcB
mp-1067704;TcB
mp-1067842;TcB
mp-1068572;Pr3AlC
mp-1068590;Pr3AlC
mp-1068612;Pr3AlC
mp-1068628;Pr3AlC
mp-1068632;Tm(CuGe)2
mp-1068701;Tm(CuGe)2
mp-1068790;Tm(CuGe)2
mp-1068806;Tm(CuGe)2
mp-1068822;Tm(CuGe)2
mp-1068878;Tm(CuGe)2
mp-1068947;Tm(CuGe)2
mp-1068960;Bi2Se3
mp-1068970;Tm(CuGe)2
mp-1068982;Bi2Se3
mp-1069013;Bi2Se3
mp-1069018;Bi2Se3
mp-1069330;Nd2AlNi2
mp-1069387;Nd2AlNi2
mp-1069431;Nd2AlNi2
mp-1069440;Bi2Se3
mp-1069448;Bi2Se3
mp-1069458;Bi2Se3
mp-1069459;Bi2Se3
mp-1069462;Yb(MnSi)2
mp-1069489;Nd2AlNi2
mp-1069512;Yb(MnSi)2
mp-1069527;Yb(MnSi)2
mp-1069563;Yb(MnSi)2
mp-1069565;Yb(MnSi)2
mp-1069606;Yb(MnSi)2
mp-1069621;Yb(MnSi)2
mp-1069629;Yb(MnSi)2
mp-1069657;Yb(MnSi)2
mp-1069686;Yb(MnSi)2
mp-1069731;Yb(MnSi)2
mp-1069757;Yb(MnSi)2
mp-1070237;Tm(CuGe)2
mp-1070282;Tm(CuGe)2
mp-1070324;Tm(CuGe)2
mp-1070362;Tm(CuGe)2
mp-1070408;Gd(SiIr)2
mp-1070470;Yb(MnSi)2
mp-1070522;Yb(MnSi)2
mp-1070577;Yb(MnSi)2
mp-1070583;ErAu4
mp-1070593;Gd(SiIr)2
mp-1070619;Yb(MnSi)2
mp-1070674;Gd(SiIr)2
mp-1070677;ErAu4
mp-1070712;Gd(SiIr)2
mp-1070717;ErAu4
mp-1070734;Bi2Se3
mp-1070756;Bi2Se3
mp-1070768;ErAu4
mp-1070776;Bi2Se3
mp-1070785;Bi2Se3
mp-1070842;LaPIr
mp-1070877;LaPIr
mp-1070942;LaPIr
mp-1070947;LaPIr
mp-1071471;NpSi2
mp-1071485;NpSi2
mp-1071526;NpSi2
mp-1071537;NpSi2
mp-1071747;SiO2
mp-1071749;SiO2
mp-1071752;SiO2
mp-1071755;SiO2
mp-1071820;SiO2
mp-1071825;SiO2
mp-1071830;SiO2
mp-1071833;SiO2
mp-1072073;TiBe2
mp-1072128;TiBe2
mp-1072147;TiBe2
mp-1072154;TiBe2
mp-1072352;SiO2
mp-1072364;SiO2
mp-1072367;SiO2
mp-1072372;SiO2
mp-1072615;TiSi2
mp-1072624;TiSi2
