material_id;energy
mp-1000217;-552.581
mp-1000409;-32.5756
mp-1000490;-26.7642
mp-1000500;-11.7012
mp-1000517;-24.2128
mp-1000597;-78.5119
mp-1000691;-71.1087
mp-1000815;-51.4955
mp-1001155;-14.8215
mp-1001175;-25.2305
mp-1001498;-30.6554
mp-1001530;-31.9835
mp-1001696;-23.4766
mp-1001704;-14.0755
mp-1001705;-65.9486
mp-1001928;-35.5319
mp-1002013;-32.0879
mp-1002183;-16.7562
mp-1002184;-15.6019
mp-1002187;-17.057
mp-1002188;-17.6047
mp-1002194;-16.7486
mp-1002195;-15.6024
mp-1002199;-16.7465
mp-1002201;-15.608
mp-1002204;-17.6042
mp-1002205;-17.054
mp-1002212;-15.3521
mp-1002214;-16.9667
mp-1002215;-17.6048
mp-1002218;-17.0549
mp-1002225;-17.127
mp-1002231;-15.9653
mp-1002323;-24.7243
mp-1003061;-35.1216
mp-10038;-19.4647
mp-10039;-28.0469
mp-1003938;-24.7265
mp-1004656;-35.1265
mp-1005224;-3.92653
mp-1005234;-3.92969
mp-1005320;-33.2037
mp-1005343;-11.76
mp-1005370;-11.7601
mp-1006366;-81.7037
mp-10064;-19.9319
mp-1006563;-569.35
mp-1006901;-32.5942
mp-1006958;-26.7662
mp-1006973;-11.7026
mp-1006991;-24.2125
mp-1007070;-78.6317
mp-1007150;-71.0446
mp-1007266;-51.526
mp-1007530;-14.8434
mp-1007550;-25.2345
mp-1008018;-30.743
mp-1008033;-31.9871
mp-1008137;-14.083
mp-1008141;-65.9589
mp-1008143;-23.4794
mp-1008264;-35.5441
mp-1008387;-32.0937
mp-1008487;-40.6945
mp-1008515;-40.6903
mp-1008565;-40.6945
mp-1008569;-40.1511
mp-1008661;-8.00866
mp-1008673;-5.9234
mp-1008674;-8.00303
mp-1008684;-8.00688
mp-1008685;-5.93981
mp-1008687;-8.23587
mp-1008691;-5.93816
mp-1008699;-5.85057
mp-1010315;-35.226
mp-1010785;-4.93039
mp-1010825;-11.8381
mp-1011371;-569.332
mp-10115;-51.5176
mp-1011612;-32.4485
mp-1011681;-10.848
mp-1011691;-26.5864
mp-1011715;-23.8674
mp-1011805;-78.5889
mp-1011886;-71.1887
mp-1012020;-50.5786
mp-1012292;-14.1375
mp-1012308;-24.9717
mp-1012354;-30.6931
mp-1012359;-31.6573
mp-1012458;-13.1507
mp-1012461;-24.0894
mp-1012462;-66.2247
mp-1012577;-34.9746
mp-1012674;-31.7753
mp-10172;-2.62518
mp-1017696;-21.0245
mp-1017849;-18.9463
mp-1018049;-31.3609
mp-1018121;-20.1357
mp-1018148;-15.3283
mp-1018224;-31.3623
mp-1018286;-20.1389
mp-1018346;-15.326
mp-1018411;-31.3648
mp-1018423;-20.144
mp-1018454;-15.3312
mp-1018522;-15.293
mp-1018583;-20.0316
mp-1018593;-31.2054
mp-1018640;-24.7836
mp-1018690;-21.0682
mp-1018694;-21.1968
mp-1018698;-31.33
mp-1018833;-24.7747
mp-1018888;-20.4284
mp-1018891;-20.5316
mp-1018904;-24.7744
mp-1018933;-21.0222
mp-1018934;-21.1911
mp-1018943;-31.3197
mp-1019060;-23.6836
mp-1019130;-21.0347
mp-1019131;-21.1863
mp-1019144;-31.3297
mp-1019240;-20.4291
mp-1019242;-20.532
mp-1019301;-20.062
mp-1019331;-19.8017
mp-1019362;-34.2941
mp-1019382;-30.4109
mp-1019452;-20.5644
mp-1019476;-20.6418
mp-1019650;-20.7596
