material_id;band_gap
mp-1000217;4.626
mp-1000500;0
mp-1000517;0
mp-1000691;0
mp-1001530;0
mp-1001696;0
mp-1002183;0
mp-1002184;0
mp-1002187;0
mp-1002188;0
mp-1002194;0
mp-1002195;0
mp-1002199;0
mp-1002201;0
mp-1002204;0
mp-1002205;0
mp-1002212;0
mp-1002214;0
mp-1002215;0
mp-1002218;0
mp-1002225;0
mp-1002231;0
mp-1003061;0
mp-1004656;0
mp-1005343;0
mp-1005370;0
mp-1006366;0
mp-1006973;0
mp-1006991;0
mp-1007150;0
mp-1008033;0
mp-1008143;0
mp-1010315;0
mp-1010825;0
mp-1011681;0
mp-1011715;0
mp-1011886;0
mp-1012359;0
mp-1012461;0
mp-1018224;1.8624
mp-1018411;1.7319
mp-1051901;0
mp-1051920;0
mp-1051925;0
mp-1057283;0
mp-1057291;0
mp-1057305;0
mp-1057314;0
mp-1058498;0
mp-1058510;0
mp-1058525;0
mp-1058529;0
mp-1059996;0
mp-1060031;0
mp-1060053;0
mp-1060080;0
mp-1061051;0
mp-1061074;0
mp-1061105;0
mp-1061121;0
mp-1064469;0
mp-1064504;0
mp-1064525;0.2895
mp-1064561;0
mp-1066433;0
mp-1066444;0
mp-1066462;0
mp-1066469;0
mp-1067395;0
mp-1067421;0
mp-1067440;0
mp-1067450;0
mp-1067451;1.4237
mp-1067574;1.4254
mp-1067704;1.4291
mp-1067842;1.4291
mp-1068632;0
mp-1068701;0
mp-1068790;0
mp-1068806;0
mp-1068822;0
mp-1068878;0
mp-1068947;0
mp-1068960;0.378
mp-1068970;0
mp-1068982;0.3785
mp-1069013;0.3769
mp-1069018;0.3769
mp-1069440;0.5436
mp-1069448;0.5449
mp-1069458;0.5434
mp-1069459;0.5434
mp-1069462;0
mp-1069512;0
mp-1069527;0
mp-1069563;0
mp-1069565;0
mp-1069606;0
mp-1069621;0
mp-1069629;0
mp-1069657;0
mp-1069686;0
mp-1069731;0
mp-1069757;0
mp-1070237;0
mp-1070282;0
mp-1070324;0
mp-1070362;0
mp-1070408;0
mp-1070470;0
mp-1070522;0
mp-1070577;0
mp-1070583;0
mp-1070593;0
mp-1070619;0
mp-1070674;0
mp-1070677;0
mp-1070712;0
mp-1070717;0
mp-1070734;0.4021
mp-1070756;0.4023
mp-1070768;0
mp-1070776;0.4006
mp-1070785;0.4006
mp-1070842;0
mp-1070877;0
mp-1070942;0
mp-1070947;0
mp-1077777;0
mp-1078094;1.1976
mp-1078110;0
mp-1078485;0
mp-1079639;0
mp-1079868;0
mp-1092253;0
mp-1095525;0
mp-1101956;0
mp-1102075;4.7953
mp-1103088;0
mp-1103949;3.7614
mp-1106237;0
mp-1114969;3.2579
mp-1115081;1.2754
mp-1115375;2.662
mp-1115395;0
mp-1115706;0
mp-1115786;0
mp-1116021;0
mp-1121422;0
mp-1122042;2.3346
mp-1124804;0
mp-1124947;0
mp-1125186;0.0156
mp-1126411;0
mp-1126574;0
mp-1127229;2.5294
mp-1127261;0
mp-1127337;5.5577
mp-1127643;0
mp-1128069;3.2321
mp-1128435;1.0125
mp-1128688;0
mp-1129842;0
mp-1130155;0
mp-1130205;4.3919
mp-1130281;4.7715
mp-1131932;0
mp-1132749;0
mp-1133340;0
mp-1135635;0
mp-1135693;0
mp-1136368;0
mp-1136389;0
mp-1136493;1.0095
mp-1136732;0
mp-1136903;0.9594
mp-1136937;2.6071
mp-1139951;0.2857
mp-1140062;0.3449
mp-1140668;0.2156
mp-1140687;4.3487
mp-1140886;0.5365
mp-1141117;5.0657
mp-1141296;0.433
mp-1141517;0.9557
mp-1141782;1.9541
