material_id;band_gap
mp-1000011;2.0316
mp-1000116;2.1752
mp-1000174;2.017
mp-1000217;4.626
mp-1000280;2.0725
mp-1000302;5.6341
mp-1000395;0
mp-1000409;0
mp-1000490;0
mp-1000500;0
mp-1000517;0
mp-1000597;0
mp-1000691;0
mp-1000702;0
mp-1000740;0
mp-1000742;0
mp-1000767;0
mp-1000772;0
mp-1000778;0
mp-1000786;0
mp-1000790;0
mp-1000815;0
mp-1000820;0
mp-1000823;0
mp-1000840;0
mp-1000876;0
mp-1000907;0
mp-1000923;0
mp-1000978;0
mp-1000983;0
mp-1001052;0
mp-1001140;0
mp-1001155;0
mp-1001166;0
mp-1001175;0
mp-1001191;0
mp-1001204;0
mp-1001273;0
mp-1001323;0
mp-1001375;0
mp-1001391;0
mp-1001489;0
mp-1001498;0
mp-1001504;0
mp-1001530;0
mp-1001664;0
mp-1001696;0
mp-1001704;0
mp-1001705;0
mp-1001721;0
mp-1001928;0
mp-1001960;0
mp-1001985;0
mp-1002009;0
mp-1002013;0
mp-1002019;0
mp-1002183;0
mp-1002184;0
mp-1002187;0
mp-1002188;0
mp-1002194;0
mp-1002195;0
mp-1002199;0
mp-1002201;0
mp-1002204;0
mp-1002205;0
mp-1002212;0
mp-1002214;0
mp-1002215;0
mp-1002218;0
mp-1002225;0
mp-1002231;0
mp-1002323;0
mp-1003061;0
mp-10038;0.0598
mp-10039;0.0339
mp-1003938;0
mp-1004656;0
mp-1005;0
mp-1005199;0
mp-1005218;0
mp-1005222;2.1398
mp-1005224;0
mp-1005229;0
mp-1005233;0
mp-1005234;0
mp-1005236;2.074
mp-1005267;0
mp-1005320;0
mp-1005343;0
mp-1005370;0
mp-1005405;0
mp-1005644;0
mp-1005667;0
mp-1005768;0
mp-1005869;0
mp-1006043;0
mp-1006072;0
mp-1006366;0
mp-10064;2.1374
mp-1006563;5.6055
mp-1006576;0
mp-1006886;0
mp-1006901;0
mp-1006958;0
mp-1006973;0
mp-1006991;0
mp-1007;0.0671
mp-1007070;0
mp-1007150;0
mp-1007151;0
mp-1007187;0
mp-1007190;0
mp-1007222;0
mp-1007223;0
mp-1007231;0
mp-1007236;0
mp-1007246;0
mp-1007264;0
mp-1007266;0
mp-1007269;0
mp-1007285;0
mp-1007318;0
mp-1007352;0
mp-1007370;0
mp-1007401;0
mp-1007418;0
mp-1007452;0
mp-1007514;0
mp-1007530;0
mp-1007537;0
mp-1007550;0
mp-1007569;0
mp-1007573;0
mp-1007630;0
mp-1007644;0
mp-1007662;0
mp-1007684;0
mp-1007700;0
mp-1007760;0.1921
mp-1007791;0
mp-1007799;0
mp-1007816;0
mp-1007822;0
mp-1007858;0
mp-1008011;0
mp-1008018;0
mp-1008033;0
mp-1008091;0
mp-1008137;0
mp-1008141;0
mp-1008143;0
mp-1008190;0
mp-1008264;0
mp-1008312;0
mp-1008353;0
mp-1008384;0
mp-1008387;0
mp-1008401;0
mp-1008472;0
mp-1008487;0
mp-1008494;0
mp-1008509;0
mp-1008515;0
mp-1008521;0
mp-1008565;0
mp-1008569;0
mp-1008624;0.2337
mp-1008639;0.1387
mp-1008644;0
mp-1008651;0
mp-1008661;0
mp-1008673;0
mp-1008674;0
mp-1008684;0
mp-1008685;0
mp-1008687;0
mp-1008691;0
mp-1008699;0
mp-1008733;0
mp-1008760;0
mp-1008767;0
mp-1008778;0
mp-1008924;0
mp-1008952;0
mp-1008975;0
mp-1008993;0
mp-1009543;0.1922
mp-1009562;0.104
mp-1009572;0
mp-1009580;0
mp-1009830;0
mp-1009872;0
mp-1009880;0
mp-1009889;0
mp-1010161;0.1831
mp-1010213;0
mp-1010222;0
mp-1010223;0
mp-1010315;0
mp-1010755;0
mp-1010785;0
mp-1010787;0
mp-1010798;2.0645
mp-1010814;0
mp-1010825;0
mp-1010871;0
mp-1010972;0
mp-1011087;0
mp-1011196;0
mp-1011371;5.6055
mp-1011381;0
mp-1011399;2.0392
mp-1011469;2.0292
mp-1011479;2.0258
mp-1011486;2.0184
mp-10115;0
mp-1011612;0
mp-1011681;0
mp-1011691;0
mp-1011715;0
mp-1011805;0
mp-1011886;0
mp-1011930;0
mp-1011935;0
mp-1011963;0
mp-1011964;0
mp-1011976;0
mp-1011977;0
mp-1011989;0
mp-1012005;0
mp-1012017;0
mp-1012020;0
mp-1012021;0
mp-1012065;0
mp-1012099;0
mp-1012134;0
mp-1012163;0
mp-1012178;0
mp-1012212;0
mp-1012277;0
mp-1012292;0
mp-1012296;0
mp-1012308;0
mp-1012321;0
mp-1012327;0
mp-1012354;0
mp-1012359;0
mp-1012408;0
mp-1012458;0
mp-1012461;0
mp-1012462;0
mp-1012523;0
mp-1012577;0
mp-1012605;0
mp-1012616;0
mp-1012663;0
mp-1012674;0
mp-1012684;0
mp-1012837;0
mp-1012919;2.0305
mp-1012921;2.0266
mp-1012930;2.0399
mp-1012965;2.0194
mp-1012997;2.0305
mp-1012998;2.0399
mp-1013008;2.0266
mp-1013091;2.0194
mp-1016234;0
mp-1016295;0
mp-1016347;0
mp-1016418;0
mp-10172;0.1099
mp-1017696;0.8792
mp-1017849;0.8731
mp-1018049;1.8612
mp-1018121;0
mp-1018148;0
mp-1018153;0
mp-1018156;0
mp-1018224;1.8624
mp-1018286;0
mp-1018298;0
mp-1018335;0
mp-1018346;0
mp-1018411;1.7319
mp-1018423;0
mp-1018454;0
mp-1018475;0
mp-1018498;0
mp-1018517;0
mp-1018522;0
mp-1018583;0
mp-1018593;1.7319
mp-1018606;0
mp-1018636;0
mp-1018640;0
mp-1018690;0
mp-1018694;0
mp-1018698;0
mp-1018801;0
