"graduateStudentID";"graduateCourseID"
442;2
1012;2
1242;2
1422;2
1072;12
1172;12
1402;12
282;22
322;22
892;22
1152;22
102;32
712;32
912;32
1222;32
1302;32
1452;32
112;42
122;42
182;42
812;42
1002;42
412;52
432;52
542;52
692;52
1452;52
652;62
722;62
832;62
1352;62
1372;62
1042;82
1142;82
192;92
262;92
362;92
562;92
902;92
1352;92
662;102
82;112
452;112
602;112
622;112
1232;112
1352;112
1392;112
1442;112
672;122
822;122
1152;122
42;132
802;132
1242;132
52;142
382;142
1262;142
1032;152
1382;152
2;162
62;162
222;162
522;162
1112;162
1142;162
292;172
1062;172
302;182
332;182
342;182
922;182
1112;182
1342;182
292;192
322;192
402;192
442;192
562;192
642;202
1072;202
1212;202
92;212
372;212
452;212
772;212
1332;212
32;222
132;222
1082;222
1442;222
822;232
22;242
232;242
572;242
702;242
782;242
1432;242
632;252
872;252
1102;252
1132;252
152;262
242;262
462;262
882;262
1282;262
802;272
812;272
1452;272
622;282
742;282
1042;282
62;292
72;292
142;292
152;292
252;292
752;292
1102;292
212;302
92;312
472;312
722;312
1072;312
1122;312
1252;312
162;322
1272;322
12;332
342;332
512;332
12;342
82;342
762;342
992;342
1312;352
492;362
782;362
1122;362
142;372
332;372
472;372
612;372
832;372
1182;372
1322;372
372;382
602;382
742;382
862;382
902;382
952;382
1132;382
582;392
992;392
32;402
172;402
242;402
1262;402
1292;402
1422;402
232;422
702;422
752;422
872;422
942;422
962;422
1412;422
512;432
532;432
1182;432
1282;432
1342;432
612;442
1162;442
1312;442
1052;452
1372;452
352;462
442;462
732;462
762;462
1172;462
1192;462
62;472
22;482
612;482
962;482
1432;482
102;492
202;492
792;492
912;492
922;492
1132;492
2;502
392;502
642;502
722;512
872;512
552;522
602;522
932;522
1382;522
392;532
802;532
992;532
1332;532
1432;532
122;542
162;542
302;542
592;542
752;542
822;542
1282;542
1292;542
152;552
252;552
382;552
502;552
762;552
1182;552
1362;552
82;562
1022;562
42;572
562;572
1342;572
282;582
332;582
782;582
862;582
972;582
1162;582
1252;582
1332;582
482;592
672;592
942;592
1262;592
222;602
392;602
402;602
642;602
942;602
1412;602
962;612
192;622
312;622
812;622
852;622
282;632
342;632
652;632
1202;632
2;642
212;642
272;642
842;642
922;642
982;642
1232;642
1382;642
1422;642
12;652
412;652
472;652
682;652
712;652
732;652
1012;652
1092;652
1292;652
312;662
422;662
1042;662
1142;662
1242;662
1402;662
10152;1002
10552;1002
10672;1002
10752;1002
10692;1012
10872;1012
10272;1022
10342;1022
10772;1022
10342;1032
10392;1032
10592;1032
10692;1032
10262;1042
10322;1042
10422;1042
10182;1052
10202;1052
10632;1052
10712;1052
10892;1052
10982;1052
10302;1062
10372;1062
10492;1062
10572;1062
10922;1062
11072;1062
10112;1072
10152;1072
10812;1072
10922;1072
11022;1072
10162;1082
10262;1082
10562;1082
11012;1082
10182;1092
10192;1092
10392;1092
10462;1092
10952;1092
11042;1092
10112;1102
10382;1102
10482;1102
11042;1102
11062;1102
10292;1112
10332;1112
10762;1112
10782;1112
10942;1112
11052;1122
11072;1122
11092;1122
10102;1132
10592;1132
10652;1132
10732;1132
